"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"189538","2016","Auditor","Primary","","Addison","","Doug Hoffer","Democratic","87"
"189539","2016","Auditor","Primary","","Albany","","Doug Hoffer","Democratic","66"
"189540","2016","Auditor","Primary","","Alburgh","","Doug Hoffer","Democratic","128"
"189541","2016","Auditor","Primary","","Andover","","Doug Hoffer","Democratic","63"
"189542","2016","Auditor","Primary","","Arlington","","Doug Hoffer","Democratic","182"
"189543","2016","Auditor","Primary","","Athens","","Doug Hoffer","Democratic","18"
"189544","2016","Auditor","Primary","","Bakersfield","","Doug Hoffer","Democratic","100"
"189545","2016","Auditor","Primary","","Baltimore","","Doug Hoffer","Democratic","22"
"189546","2016","Auditor","Primary","","Barnard","","Doug Hoffer","Democratic","108"
"189547","2016","Auditor","Primary","","Barnet","","Doug Hoffer","Democratic","142"
"189548","2016","Auditor","Primary","","Barre City","","Doug Hoffer","Democratic","517"
"189549","2016","Auditor","Primary","","Barre Town","","Doug Hoffer","Democratic","520"
"189550","2016","Auditor","Primary","","Barton","","Doug Hoffer","Democratic","120"
"189551","2016","Auditor","Primary","","Belvidere","","Doug Hoffer","Democratic","17"
"189552","2016","Auditor","Primary","","Bennington","Bennington 2-1","Doug Hoffer","Democratic","530"
"189553","2016","Auditor","Primary","","Bennington","Bennington 2-2","Doug Hoffer","Democratic","385"
"189554","2016","Auditor","Primary","","Benson","","Doug Hoffer","Democratic","53"
"189555","2016","Auditor","Primary","","Berkshire","","Doug Hoffer","Democratic","69"
"189556","2016","Auditor","Primary","","Berlin","","Doug Hoffer","Democratic","220"
"189557","2016","Auditor","Primary","","Bethel","","Doug Hoffer","Democratic","207"
"189558","2016","Auditor","Primary","","Bloomfield","","Doug Hoffer","Democratic","19"
"189559","2016","Auditor","Primary","","Bolton","","Doug Hoffer","Democratic","139"
"189560","2016","Auditor","Primary","","Bradford","","Doug Hoffer","Democratic","192"
"189561","2016","Auditor","Primary","","Braintree","","Doug Hoffer","Democratic","93"
"189562","2016","Auditor","Primary","","Brandon","","Doug Hoffer","Democratic","286"
"189563","2016","Auditor","Primary","","Brattleboro","Windham 2-1","Doug Hoffer","Democratic","395"
"189564","2016","Auditor","Primary","","Brattleboro","Windham 2-2","Doug Hoffer","Democratic","405"
"189565","2016","Auditor","Primary","","Brattleboro","Windham 2-3","Doug Hoffer","Democratic","481"
"189566","2016","Auditor","Primary","","Bridgewater","","Doug Hoffer","Democratic","93"
"189567","2016","Auditor","Primary","","Bridport","","Doug Hoffer","Democratic","91"
"189568","2016","Auditor","Primary","","Brighton","","Doug Hoffer","Democratic","50"
"189569","2016","Auditor","Primary","","Bristol","","Doug Hoffer","Democratic","385"
"189570","2016","Auditor","Primary","","Brookfield","","Doug Hoffer","Democratic","152"
"189571","2016","Auditor","Primary","","Brookline","","Doug Hoffer","Democratic","68"
"189572","2016","Auditor","Primary","","Brownington","","Doug Hoffer","Democratic","45"
"189573","2016","Auditor","Primary","","Brunswick","","Doug Hoffer","Democratic","7"
"189574","2016","Auditor","Primary","","Burke","","Doug Hoffer","Democratic","79"
"189575","2016","Auditor","Primary","","Burlington","Chittenden 6-1","Doug Hoffer","Democratic","1,112"
"189576","2016","Auditor","Primary","","Burlington","Chittenden 6-2","Doug Hoffer","Democratic","680"
"189577","2016","Auditor","Primary","","Burlington","Chittenden 6-3","Doug Hoffer","Democratic","781"
"189578","2016","Auditor","Primary","","Burlington","Chittenden 6-4","Doug Hoffer","Democratic","588"
"189579","2016","Auditor","Primary","","Burlington","Chittenden 6-5","Doug Hoffer","Democratic","1,429"
"189580","2016","Auditor","Primary","","Burlington","Chittenden 6-6","Doug Hoffer","Democratic","206"
"189581","2016","Auditor","Primary","","Burlington","Chittenden 6-7","Doug Hoffer","Democratic","30"
"189582","2016","Auditor","Primary","","Cabot","","Doug Hoffer","Democratic","144"
"189583","2016","Auditor","Primary","","Calais","","Doug Hoffer","Democratic","293"
"189584","2016","Auditor","Primary","","Cambridge","","Doug Hoffer","Democratic","248"
"189585","2016","Auditor","Primary","","Canaan","","Doug Hoffer","Democratic","28"
"189586","2016","Auditor","Primary","","Castleton","","Doug Hoffer","Democratic","188"
"189587","2016","Auditor","Primary","","Cavendish","","Doug Hoffer","Democratic","115"
"189588","2016","Auditor","Primary","","Charleston","","Doug Hoffer","Democratic","62"
"189589","2016","Auditor","Primary","","Charlotte","","Doug Hoffer","Democratic","570"
"189590","2016","Auditor","Primary","","Chelsea","","Doug Hoffer","Democratic","95"
"189591","2016","Auditor","Primary","","Chester","","Doug Hoffer","Democratic","368"
"189592","2016","Auditor","Primary","","Chittenden","","Doug Hoffer","Democratic","108"
"189593","2016","Auditor","Primary","","Clarendon","","Doug Hoffer","Democratic","114"
"189594","2016","Auditor","Primary","","Colchester","Chittenden 9-1","Doug Hoffer","Democratic","437"
"189595","2016","Auditor","Primary","","Colchester","Chittenden 9-2","Doug Hoffer","Democratic","652"
"189596","2016","Auditor","Primary","","Concord","","Doug Hoffer","Democratic","59"
"189597","2016","Auditor","Primary","","Corinth","","Doug Hoffer","Democratic","127"
"189598","2016","Auditor","Primary","","Cornwall","","Doug Hoffer","Democratic","184"
"189599","2016","Auditor","Primary","","Coventry","","Doug Hoffer","Democratic","52"
"189600","2016","Auditor","Primary","","Craftsbury","","Doug Hoffer","Democratic","117"
"189601","2016","Auditor","Primary","","Danby","","Doug Hoffer","Democratic","95"
"189602","2016","Auditor","Primary","","Danville","","Doug Hoffer","Democratic","221"
"189603","2016","Auditor","Primary","","Derby","","Doug Hoffer","Democratic","255"
"189604","2016","Auditor","Primary","","Dorset","","Doug Hoffer","Democratic","206"
"189605","2016","Auditor","Primary","","Dover","","Doug Hoffer","Democratic","85"
"189606","2016","Auditor","Primary","","Dummerston","","Doug Hoffer","Democratic","305"
"189607","2016","Auditor","Primary","","Duxbury","","Doug Hoffer","Democratic","152"
"189608","2016","Auditor","Primary","","E. Haven","","Doug Hoffer","Democratic","22"
"189609","2016","Auditor","Primary","","E. Montpelier","","Doug Hoffer","Democratic","473"
"189610","2016","Auditor","Primary","","Eden","","Doug Hoffer","Democratic","62"
"189611","2016","Auditor","Primary","","Elmore","","Doug Hoffer","Democratic","153"
"189612","2016","Auditor","Primary","","Enosburgh","","Doug Hoffer","Democratic","138"
"189613","2016","Auditor","Primary","","Essex","Chittenden 8-1","Doug Hoffer","Democratic","656"
"189614","2016","Auditor","Primary","","Essex","Chittenden 8-2","Doug Hoffer","Democratic","755"
"189615","2016","Auditor","Primary","","Essex","Chittenden 8-3","Doug Hoffer","Democratic","245"
"189616","2016","Auditor","Primary","","Fair Haven","","Doug Hoffer","Democratic","102"
"189617","2016","Auditor","Primary","","Fairfax","","Doug Hoffer","Democratic","274"
"189618","2016","Auditor","Primary","","Fairfield","","Doug Hoffer","Democratic","142"
"189619","2016","Auditor","Primary","","Fairlee","","Doug Hoffer","Democratic","89"
"189620","2016","Auditor","Primary","","Fayston","","Doug Hoffer","Democratic","141"
"189621","2016","Auditor","Primary","","Ferrisburgh","","Doug Hoffer","Democratic","289"
"189622","2016","Auditor","Primary","","Fletcher","","Doug Hoffer","Democratic","119"
"189623","2016","Auditor","Primary","","Franklin","","Doug Hoffer","Democratic","62"
"189624","2016","Auditor","Primary","","Georgia","","Doug Hoffer","Democratic","206"
"189625","2016","Auditor","Primary","","Glover","","Doug Hoffer","Democratic","100"
"189626","2016","Auditor","Primary","","Goshen","","Doug Hoffer","Democratic","31"
"189627","2016","Auditor","Primary","","Grafton","","Doug Hoffer","Democratic","77"
"189628","2016","Auditor","Primary","","Granby","","Doug Hoffer","Democratic","4"
"189629","2016","Auditor","Primary","","Grand Isle","","Doug Hoffer","Democratic","253"
"189630","2016","Auditor","Primary","","Granville","","Doug Hoffer","Democratic","38"
"189631","2016","Auditor","Primary","","Greensboro","","Doug Hoffer","Democratic","106"
"189632","2016","Auditor","Primary","","Groton","","Doug Hoffer","Democratic","54"
"189633","2016","Auditor","Primary","","Guildhall","","Doug Hoffer","Democratic","23"
"189634","2016","Auditor","Primary","","Guilford","","Doug Hoffer","Democratic","268"
"189635","2016","Auditor","Primary","","Halifax","","Doug Hoffer","Democratic","112"
"189636","2016","Auditor","Primary","","Hancock","","Doug Hoffer","Democratic","31"
"189637","2016","Auditor","Primary","","Hardwick","","Doug Hoffer","Democratic","204"
"189638","2016","Auditor","Primary","","Hartford","Windsor 4-1","Doug Hoffer","Democratic","186"
"189639","2016","Auditor","Primary","","Hartford","Windsor 4-2","Doug Hoffer","Democratic","793"
"189640","2016","Auditor","Primary","","Hartland","","Doug Hoffer","Democratic","548"
"189641","2016","Auditor","Primary","","Highgate","","Doug Hoffer","Democratic","145"
"189642","2016","Auditor","Primary","","Hinesburg","Chittenden 4-1","Doug Hoffer","Democratic","6"
"189643","2016","Auditor","Primary","","Hinesburg","Chittenden 4-2","Doug Hoffer","Democratic","596"
"189644","2016","Auditor","Primary","","Holland","","Doug Hoffer","Democratic","23"
"189645","2016","Auditor","Primary","","Hubbardton","","Doug Hoffer","Democratic","43"
"189646","2016","Auditor","Primary","","Huntington","","Doug Hoffer","Democratic","314"
"189647","2016","Auditor","Primary","","Hyde Park","","Doug Hoffer","Democratic","275"
"189648","2016","Auditor","Primary","","Ira","","Doug Hoffer","Democratic","35"
"189649","2016","Auditor","Primary","","Irasburg","","Doug Hoffer","Democratic","63"
"189650","2016","Auditor","Primary","","Isle La Motte","","Doug Hoffer","Democratic","58"
"189651","2016","Auditor","Primary","","Jamaica","","Doug Hoffer","Democratic","104"
"189652","2016","Auditor","Primary","","Jay","","Doug Hoffer","Democratic","26"
"189653","2016","Auditor","Primary","","Jericho","","Doug Hoffer","Democratic","695"
"189654","2016","Auditor","Primary","","Johnson","","Doug Hoffer","Democratic","193"
"189655","2016","Auditor","Primary","","Killington","","Doug Hoffer","Democratic","76"
"189656","2016","Auditor","Primary","","Kirby","","Doug Hoffer","Democratic","53"
"189657","2016","Auditor","Primary","","Landgrove","","Doug Hoffer","Democratic","34"
"189658","2016","Auditor","Primary","","Leicester","","Doug Hoffer","Democratic","64"
"189659","2016","Auditor","Primary","","Lemington","","Doug Hoffer","Democratic","3"
"189660","2016","Auditor","Primary","","Lincoln","","Doug Hoffer","Democratic","237"
"189661","2016","Auditor","Primary","","Londonderry","","Doug Hoffer","Democratic","137"
"189662","2016","Auditor","Primary","","Lowell","","Doug Hoffer","Democratic","47"
"189663","2016","Auditor","Primary","","Ludlow","","Doug Hoffer","Democratic","168"
"189664","2016","Auditor","Primary","","Lunenburg","","Doug Hoffer","Democratic","43"
"189665","2016","Auditor","Primary","","Lyndon","","Doug Hoffer","Democratic","157"
"189666","2016","Auditor","Primary","","Maidstone","","Doug Hoffer","Democratic","20"
"189667","2016","Auditor","Primary","","Manchester","","Doug Hoffer","Democratic","272"
"189668","2016","Auditor","Primary","","Marlboro","","Doug Hoffer","Democratic","179"
"189669","2016","Auditor","Primary","","Marshfield","","Doug Hoffer","Democratic","144"
"189670","2016","Auditor","Primary","","Mendon","","Doug Hoffer","Democratic","72"
"189671","2016","Auditor","Primary","","Middlebury","","Doug Hoffer","Democratic","1,004"
"189672","2016","Auditor","Primary","","Middlesex","","Doug Hoffer","Democratic","345"
"189673","2016","Auditor","Primary","","Middletown Springs","","Doug Hoffer","Democratic","84"
"189674","2016","Auditor","Primary","","Milton","Chittenden 10","Doug Hoffer","Democratic","442"
"189675","2016","Auditor","Primary","","Milton","Grand Isle-Chittenden","Doug Hoffer","Democratic","94"
"189676","2016","Auditor","Primary","","Monkton","","Doug Hoffer","Democratic","245"
"189677","2016","Auditor","Primary","","Montgomery","","Doug Hoffer","Democratic","106"
"189678","2016","Auditor","Primary","","Montpelier","","Doug Hoffer","Democratic","1,646"
"189679","2016","Auditor","Primary","","Moretown","","Doug Hoffer","Democratic","205"
"189680","2016","Auditor","Primary","","Morgan","","Doug Hoffer","Democratic","33"
"189681","2016","Auditor","Primary","","Morristown","","Doug Hoffer","Democratic","594"
"189682","2016","Auditor","Primary","","Mount Holly","","Doug Hoffer","Democratic","102"
"189683","2016","Auditor","Primary","","Mount Tabor","","Doug Hoffer","Democratic","10"
"189684","2016","Auditor","Primary","","New Haven","","Doug Hoffer","Democratic","214"
"189685","2016","Auditor","Primary","","Newark","","Doug Hoffer","Democratic","50"
"189686","2016","Auditor","Primary","","Newbury","","Doug Hoffer","Democratic","179"
"189687","2016","Auditor","Primary","","Newfane","","Doug Hoffer","Democratic","293"
"189688","2016","Auditor","Primary","","Newport City","","Doug Hoffer","Democratic","204"
"189689","2016","Auditor","Primary","","Newport Town","","Doug Hoffer","Democratic","66"
"189690","2016","Auditor","Primary","","N. Hero","","Doug Hoffer","Democratic","147"
"189691","2016","Auditor","Primary","","Northfield","","Doug Hoffer","Democratic","304"
"189692","2016","Auditor","Primary","","Norton","","Doug Hoffer","Democratic","10"
"189693","2016","Auditor","Primary","","Norwich","","Doug Hoffer","Democratic","653"
"189694","2016","Auditor","Primary","","Orange","","Doug Hoffer","Democratic","60"
"189695","2016","Auditor","Primary","","Orwell","","Doug Hoffer","Democratic","89"
"189696","2016","Auditor","Primary","","Panton","","Doug Hoffer","Democratic","53"
"189697","2016","Auditor","Primary","","Pawlet","","Doug Hoffer","Democratic","128"
"189698","2016","Auditor","Primary","","Peacham","","Doug Hoffer","Democratic","122"
"189699","2016","Auditor","Primary","","Peru","","Doug Hoffer","Democratic","45"
"189700","2016","Auditor","Primary","","Pittsfield","","Doug Hoffer","Democratic","41"
"189701","2016","Auditor","Primary","","Pittsford","","Doug Hoffer","Democratic","170"
"189702","2016","Auditor","Primary","","Plainfield","","Doug Hoffer","Democratic","175"
"189703","2016","Auditor","Primary","","Plymouth","","Doug Hoffer","Democratic","46"
"189704","2016","Auditor","Primary","","Pomfret","","Doug Hoffer","Democratic","172"
"189705","2016","Auditor","Primary","","Poultney","","Doug Hoffer","Democratic","146"
"189706","2016","Auditor","Primary","","Pownal","","Doug Hoffer","Democratic","149"
"189707","2016","Auditor","Primary","","Proctor","","Doug Hoffer","Democratic","89"
"189708","2016","Auditor","Primary","","Putney","","Doug Hoffer","Democratic","320"
