"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","",,"Elizabeth M Ready",235
"Orleans","Albany","Albany","Auditor General","",,"Elizabeth M Ready",170
"Grand Isle","Alburgh","Alburgh","Auditor General","",,"Elizabeth M Ready",347
"Windsor","Andover","Andover","Auditor General","",,"Elizabeth M Ready",83
"Bennington","Arlington","Arlington","Auditor General","",,"Elizabeth M Ready",414
"Windham","Athens","Athens","Auditor General","",,"Elizabeth M Ready",46
"Franklin","Bakersfield","Bakersfield","Auditor General","",,"Elizabeth M Ready",253
"Windsor","Baltimore","Baltimore","Auditor General","",,"Elizabeth M Ready",32
"Windsor","Barnard","Barnard","Auditor General","",,"Elizabeth M Ready",199
"Caledonia","Barnet","Barnet","Auditor General","",,"Elizabeth M Ready",265
"Washington","Barre City","Washington 3-1","Auditor General","",,"Elizabeth M Ready",647
"Washington","Barre City","Washington 3-2","Auditor General","",,"Elizabeth M Ready",523
"Washington","Barre City","Washington 3-3","Auditor General","",,"Elizabeth M Ready",97
"Washington","Barre Town","Barre Town","Auditor General","",,"Elizabeth M Ready",1177
"Orleans","Barton","Barton Memorial","Auditor General","",,"Elizabeth M Ready",257
"Orleans","Barton","Orleans Memorial","Auditor General","",,"Elizabeth M Ready",163
"Lamoille","Belvidere","Belvidere","Auditor General","",,"Elizabeth M Ready",41
"Bennington","Bennington","Bennington 2-1","Auditor General","",,"Elizabeth M Ready",995
"Bennington","Bennington","Bennington 2-1 Nb","Auditor General","",,"Elizabeth M Ready",270
"Bennington","Bennington","Bennington 2-2","Auditor General","",,"Elizabeth M Ready",1274
"Bennington","Bennington","Bennington 5","Auditor General","",,"Elizabeth M Ready",18
"Rutland","Benson","Benson","Auditor General","",,"Elizabeth M Ready",134
"Franklin","Berkshire","Berkshire","Auditor General","",,"Elizabeth M Ready",231
"Washington","Berlin","Berlin","Auditor General","",,"Elizabeth M Ready",422
"Windsor","Bethel","Bethel","Auditor General","",,"Elizabeth M Ready",334
"Essex","Bloomfield","Bloomfield","Auditor General","",,"Elizabeth M Ready",23
"Chittenden","Bolton","Bolton","Auditor General","",,"Elizabeth M Ready",219
"Orange","Bradford","Bradford","Auditor General","",,"Elizabeth M Ready",360
"Orange","Braintree","Braintree","Auditor General","",,"Elizabeth M Ready",201
"Rutland","Brandon","Brandon","Auditor General","",,"Elizabeth M Ready",764
"Windham","Brattleboro","Windham 3-1","Auditor General","",,"Elizabeth M Ready",971
"Windham","Brattleboro","Windham 3-2","Auditor General","",,"Elizabeth M Ready",892
"Windham","Brattleboro","Windham 3-3","Auditor General","",,"Elizabeth M Ready",922
"Windsor","Bridgewater","Bridgewater","Auditor General","",,"Elizabeth M Ready",169
"Addison","Bridport","Bridport","Auditor General","",,"Elizabeth M Ready",209
"Essex","Brighton","Brighton","Auditor General","",,"Elizabeth M Ready",185
"Addison","Bristol","Bristol","Auditor General","",,"Elizabeth M Ready",751
"Orange","Brookfield","Brookfield","Auditor General","",,"Elizabeth M Ready",268
"Windham","Brookline","Brookline","Auditor General","",,"Elizabeth M Ready",101
"Orleans","Brownington","Brownington","Auditor General","",,"Elizabeth M Ready",123
"Essex","Brunswick","Brunswick","Auditor General","",,"Elizabeth M Ready",15
"Caledonia","Burke","Burke","Auditor General","",,"Elizabeth M Ready",199
"Chittenden","Burlington","Chittenden 3-1 Ward 4","Auditor General","",,"Elizabeth M Ready",1129
"Chittenden","Burlington","Chittenden 3-1 Ward 7","Auditor General","",,"Elizabeth M Ready",656
"Chittenden","Burlington","Chittenden 3-2 Ward 2","Auditor General","",,"Elizabeth M Ready",109
"Chittenden","Burlington","Chittenden 3-2 Ward 3","Auditor General","",,"Elizabeth M Ready",100
"Chittenden","Burlington","Chittenden 3-2 Ward 4","Auditor General","",,"Elizabeth M Ready",190
"Chittenden","Burlington","Chittenden 3-2 Ward 7","Auditor General","",,"Elizabeth M Ready",559
"Chittenden","Burlington","Chittenden 3-3 Ward 2","Auditor General","",,"Elizabeth M Ready",371
"Chittenden","Burlington","Chittenden 3-3 Ward 3 1","Auditor General","",,"Elizabeth M Ready",1101
"Chittenden","Burlington","Chittenden 3-3 Ward 5","Auditor General","",,"Elizabeth M Ready",76
"Chittenden","Burlington","Chittenden 3-3 Ward 6","Auditor General","",,"Elizabeth M Ready",69
"Chittenden","Burlington","Chittenden 3-3 Ward 7","Auditor General","",,"Elizabeth M Ready",73
"Chittenden","Burlington","Chittenden 3-4 Ward 1","Auditor General","",,"Elizabeth M Ready",798
"Chittenden","Burlington","Chittenden 3-4 Ward 2","Auditor General","",,"Elizabeth M Ready",412
"Chittenden","Burlington","Chittenden 3-4 Ward 6","Auditor General","",,"Elizabeth M Ready",140
"Chittenden","Burlington","Chittenden 3-5 Ward 5","Auditor General","",,"Elizabeth M Ready",1313
"Chittenden","Burlington","Chittenden 3-5 Ward 6","Auditor General","",,"Elizabeth M Ready",914
"Chittenden","Burlington","Chittenden 3-6 Ward 1","Auditor General","",,"Elizabeth M Ready",297
"Washington","Cabot","Cabot","Auditor General","",,"Elizabeth M Ready",250
"Washington","Calais","Calais","Auditor General","",,"Elizabeth M Ready",489
"Lamoille","Cambridge","Cambridge","Auditor General","",,"Elizabeth M Ready",620
"Essex","Canaan","Canaan","Auditor General","",,"Elizabeth M Ready",100
"Rutland","Castleton","Castleton","Auditor General","",,"Elizabeth M Ready",568
"Windsor","Cavendish","Cavendish","Auditor General","",,"Elizabeth M Ready",228
"Orleans","Charleston","Charleston","Auditor General","",,"Elizabeth M Ready",139
"Chittenden","Charlotte","Charlotte","Auditor General","",,"Elizabeth M Ready",925
"Orange","Chelsea","Chelsea","Auditor General","",,"Elizabeth M Ready",237
"Windsor","Chester","Chester","Auditor General","",,"Elizabeth M Ready",587
"Rutland","Chittenden","Chittenden","Auditor General","",,"Elizabeth M Ready",231
"Rutland","Clarendon","Clarendon","Auditor General","",,"Elizabeth M Ready",371
"Chittenden","Colchester","Chittenden 7-1","Auditor General","",,"Elizabeth M Ready",1316
"Chittenden","Colchester","Chittenden 7-2","Auditor General","",,"Elizabeth M Ready",1593
"Essex","Concord","Concord","Auditor General","",,"Elizabeth M Ready",122
"Orange","Corinth","Corinth","Auditor General","",,"Elizabeth M Ready",235
"Addison","Cornwall","Cornwall","Auditor General","",,"Elizabeth M Ready",277
"Orleans","Coventry","Coventry","Auditor General","",,"Elizabeth M Ready",130
"Orleans","Craftsbury","Craftsbury","Auditor General","",,"Elizabeth M Ready",279
"Rutland","Danby","Danby","Auditor General","",,"Elizabeth M Ready",187
"Caledonia","Danville","Danville","Auditor General","",,"Elizabeth M Ready",329
"Orleans","Derby","Derby","Auditor General","",,"Elizabeth M Ready",840
"Bennington","Dorset","Dorset","Auditor General","",,"Elizabeth M Ready",265
"Windham","Dover","Dover","Auditor General","",,"Elizabeth M Ready",157
"Windham","Dummerston","Dummerston","Auditor General","",,"Elizabeth M Ready",528
"Washington","Duxbury","Duxbury","Auditor General","",,"Elizabeth M Ready",226
"Essex","East Haven","E. Haven","Auditor General","",,"Elizabeth M Ready",45
"Washington","East Montpelier","E. Montpelier","Auditor General","",,"Elizabeth M Ready",596
"Lamoille","Eden","Eden","Auditor General","",,"Elizabeth M Ready",147
"Lamoille","Elmore","Elmore","Auditor General","",,"Elizabeth M Ready",196
"Franklin","Enosburgh","Enosburgh","Auditor General","",,"Elizabeth M Ready",467
"Chittenden","Essex","Chittenden 6-1","Auditor General","",,"Elizabeth M Ready",1331
"Chittenden","Essex","Chittenden 6-2","Auditor General","",,"Elizabeth M Ready",1620
"Chittenden","Essex","Chittenden 6-3","Auditor General","",,"Elizabeth M Ready",515
"Rutland","Fair Haven","Fair Haven","Auditor General","",,"Elizabeth M Ready",340
"Franklin","Fairfax","Fairfax","Auditor General","",,"Elizabeth M Ready",689
"Franklin","Fairfield","Fairfield","Auditor General","",,"Elizabeth M Ready",419
"Orange","Fairlee","Fairlee","Auditor General","",,"Elizabeth M Ready",175
"Washington","Fayston","Fayston","Auditor General","",,"Elizabeth M Ready",204
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","",,"Elizabeth M Ready",529
"Franklin","Fletcher","Fletcher","Auditor General","",,"Elizabeth M Ready",222
"Franklin","Franklin","Franklin","Auditor General","",,"Elizabeth M Ready",216
"Franklin","Georgia","Georgia","Auditor General","",,"Elizabeth M Ready",739
"Orleans","Glover","Glover","Auditor General","",,"Elizabeth M Ready",245
"Addison","Goshen","Goshen","Auditor General","",,"Elizabeth M Ready",62
"Windham","Grafton","Grafton","Auditor General","",,"Elizabeth M Ready",130
"Essex","Granby","Granby","Auditor General","",,"Elizabeth M Ready",6
"Grand Isle","Grand Isle","Grand Isle","Auditor General","",,"Elizabeth M Ready",503
"Addison","Granville","Granville","Auditor General","",,"Elizabeth M Ready",56
"Orleans","Greensboro","Greensboro","Auditor General","",,"Elizabeth M Ready",173
"Caledonia","Groton","Groton","Auditor General","",,"Elizabeth M Ready",121
"Essex","Guildhall","Guildhall","Auditor General","",,"Elizabeth M Ready",26
"Windham","Guilford","Guilford","Auditor General","",,"Elizabeth M Ready",499
"Windham","Halifax","Halifax","Auditor General","",,"Elizabeth M Ready",152
"Addison","Hancock","Hancock","Auditor General","",,"Elizabeth M Ready",63
"Caledonia","Hardwick","Hardwick","Auditor General","",,"Elizabeth M Ready",530
"Windsor","Hartford","Windsor 6-1","Auditor General","",,"Elizabeth M Ready",349
"Windsor","Hartford","Windsor 6-2","Auditor General","",,"Elizabeth M Ready",1344
"Windsor","Hartland","Hartland","Auditor General","",,"Elizabeth M Ready",681
"Franklin","Highgate","Highgate","Auditor General","",,"Elizabeth M Ready",517
"Chittenden","Hinesburg","Chittenden 1-1","Auditor General","",,"Elizabeth M Ready",943
"Chittenden","Hinesburg","Chittenden 1-2","Auditor General","",,"Elizabeth M Ready",35
"Orleans","Holland","Holland","Auditor General","",,"Elizabeth M Ready",100
"Rutland","Hubbardton","Hubbardton","Auditor General","",,"Elizabeth M Ready",102
"Chittenden","Huntington","Huntington","Auditor General","",,"Elizabeth M Ready",470
"Lamoille","Hyde Park","Hyde Park","Auditor General","",,"Elizabeth M Ready",579
"Rutland","Ira","Rutland 1-1","Auditor General","",,"Elizabeth M Ready",14
"Rutland","Ira","Rutland 1-2","Auditor General","",,"Elizabeth M Ready",50
"Orleans","Irasburg","Irasburg","Auditor General","",,"Elizabeth M Ready",187
"Grand Isle","Isle La Motte","Isle La Motte","Auditor General","",,"Elizabeth M Ready",123
"Windham","Jamaica","Jamaica","Auditor General","",,"Elizabeth M Ready",145
"Orleans","Jay","Jay","Auditor General","",,"Elizabeth M Ready",60
"Chittenden","Jericho","Jericho","Auditor General","",,"Elizabeth M Ready",1167
"Lamoille","Johnson","Johnson","Auditor General","",,"Elizabeth M Ready",583
"Rutland","Killington","Killington","Auditor General","",,"Elizabeth M Ready",149
"Caledonia","Kirby","Kirby","Auditor General","",,"Elizabeth M Ready",69
"Bennington","Landgrove","Landgrove","Auditor General","",,"Elizabeth M Ready",44
"Addison","Leicester","Leicester","Auditor General","",,"Elizabeth M Ready",202
"Essex","Lemington","Lemington","Auditor General","",,"Elizabeth M Ready",14
"Addison","Lincoln","Lincoln","Auditor General","",,"Elizabeth M Ready",359
"Windham","Londonderry","Londonderry","Auditor General","",,"Elizabeth M Ready",241
"Orleans","Lowell","Lowell","Auditor General","",,"Elizabeth M Ready",107
"Windsor","Ludlow","Ludlow","Auditor General","",,"Elizabeth M Ready",406
"Essex","Lunenburg","Lunenburg","Auditor General","",,"Elizabeth M Ready",137
"Caledonia","Lyndon","Lyndon","Auditor General","",,"Elizabeth M Ready",601
"Essex","Maidstone","Maidstone","Auditor General","",,"Elizabeth M Ready",19
"Bennington","Manchester","Manchester","Auditor General","",,"Elizabeth M Ready",537
"Windham","Marlboro","Marlboro","Auditor General","",,"Elizabeth M Ready",319
"Washington","Marshfield","Marshfield","Auditor General","",,"Elizabeth M Ready",368
"Rutland","Mendon","Mendon","Auditor General","",,"Elizabeth M Ready",174
"Addison","Middlebury","Middlebury","Auditor General","",,"Elizabeth M Ready",1455
"Washington","Middlesex","Middlesex","Auditor General","",,"Elizabeth M Ready",424
"Rutland","Middletown Springs","Middletown Springs","Auditor General","",,"Elizabeth M Ready",161
"Chittenden","Milton","Chittenden 9","Auditor General","",,"Elizabeth M Ready",1335
"Chittenden","Milton","Grand Isle-Chittenden 1-1","Auditor General","",,"Elizabeth M Ready",204
"Addison","Monkton","Monkton","Auditor General","",,"Elizabeth M Ready",449
"Franklin","Montgomery","Montgomery","Auditor General","",,"Elizabeth M Ready",227
"Washington","Montpelier","Montpelier","Auditor General","",,"Elizabeth M Ready",2070
"Washington","Moretown","Moretown","Auditor General","",,"Elizabeth M Ready",359
"Orleans","Morgan","Morgan","Auditor General","",,"Elizabeth M Ready",122
"Lamoille","Morristown","Morristown","Auditor General","",,"Elizabeth M Ready",987
"Rutland","Mount Holly","Mount Holly","Auditor General","",,"Elizabeth M Ready",235
"Rutland","Mount Tabor","Mount Tabor","Auditor General","",,"Elizabeth M Ready",32
"Addison","New Haven","New Haven","Auditor General","",,"Elizabeth M Ready",334
"Caledonia","Newark","Newark","Auditor General","",,"Elizabeth M Ready",95
"Orange","Newbury","Center Town House","Auditor General","",,"Elizabeth M Ready",43
"Orange","Newbury","Town Office","Auditor General","",,"Elizabeth M Ready",188
"Orange","Newbury","West River Village","Auditor General","",,"Elizabeth M Ready",80
"Windham","Newfane","Newfane","Auditor General","",,"Elizabeth M Ready",498
"Orleans","Newport City","Newport City","Auditor General","",,"Elizabeth M Ready",629
"Orleans","Newport Town","Newport Town","Auditor General","",,"Elizabeth M Ready",237
"Grand Isle","North Hero","N. Hero","Auditor General","",,"Elizabeth M Ready",188
"Washington","Northfield","Northfield","Auditor General","",,"Elizabeth M Ready",907
"Essex","Norton","Norton","Auditor General","",,"Elizabeth M Ready",22
"Windsor","Norwich","Norwich","Auditor General","",,"Elizabeth M Ready",1202
"Orange","Orange","Orange","Auditor General","",,"Elizabeth M Ready",110
"Addison","Orwell","Orwell","Auditor General","",,"Elizabeth M Ready",197
"Addison","Panton","Panton","Auditor General","",,"Elizabeth M Ready",115
"Rutland","Pawlet","Pawlet","Auditor General","",,"Elizabeth M Ready",181
"Caledonia","Peacham","Peacham","Auditor General","",,"Elizabeth M Ready",178
"Bennington","Peru","Peru","Auditor General","",,"Elizabeth M Ready",54
"Rutland","Pittsfield","Pittsfield","Auditor General","",,"Elizabeth M Ready",85
"Rutland","Pittsford","Pittsford","Auditor General","",,"Elizabeth M Ready",451
"Washington","Plainfield","Plainfield","Auditor General","",,"Elizabeth M Ready",328
"Windsor","Plymouth","Plymouth","Auditor General","",,"Elizabeth M Ready",87
"Windsor","Pomfret","Pomfret","Auditor General","",,"Elizabeth M Ready",235
"Rutland","Poultney","Poultney","Auditor General","",,"Elizabeth M Ready",502
"Bennington","Pownal","Pownal","Auditor General","",,"Elizabeth M Ready",653
"Rutland","Proctor","Proctor","Auditor General","",,"Elizabeth M Ready",335
"Windham","Putney","Putney","Auditor General","",,"Elizabeth M Ready",719
"Orange","Randolph","Randolph","Auditor General","",,"Elizabeth M Ready",910
"Windsor","Reading","Reading","Auditor General","",,"Elizabeth M Ready",159
"Bennington","Readsboro","Readsboro","Auditor General","",,"Elizabeth M Ready",133
"Franklin","Richford","Richford","Auditor General","",,"Elizabeth M Ready",516
"Chittenden","Richmond","Richmond","Auditor General","",,"Elizabeth M Ready",1009
"Addison","Ripton","Ripton","Auditor General","",,"Elizabeth M Ready",178
"Windsor","Rochester","Rochester","Auditor General","",,"Elizabeth M Ready",296
"Windham","Rockingham","Rockingham","Auditor General","",,"Elizabeth M Ready",1023
"Washington","Roxbury","Roxbury","Auditor General","",,"Elizabeth M Ready",146
"Windsor","Royalton","Royalton","Auditor General","",,"Elizabeth M Ready",473
"Bennington","Rupert","Rupert","Auditor General","",,"Elizabeth M Ready",95
"Rutland","Rutland City","Rutland 5-1","Auditor General","",,"Elizabeth M Ready",780
"Rutland","Rutland City","Rutland 5-2","Auditor General","",,"Elizabeth M Ready",788
"Rutland","Rutland City","Rutland 5-3","Auditor General","",,"Elizabeth M Ready",503
"Rutland","Rutland City","Rutland 5-4","Auditor General","",,"Elizabeth M Ready",664
"Rutland","Rutland Town","Rutland Town","Auditor General","",,"Elizabeth M Ready",692
"Caledonia","Ryegate","Ryegate","Auditor General","",,"Elizabeth M Ready",152
"Addison","Salisbury","Salisbury","Auditor General","",,"Elizabeth M Ready",172
"Bennington","Sandgate","Sandgate","Auditor General","",,"Elizabeth M Ready",73
"Bennington","Searsburg","Searsburg","Auditor General","",,"Elizabeth M Ready",10
"Bennington","Shaftsbury","Shaftsbury","Auditor General","",,"Elizabeth M Ready",799
"Windsor","Sharon","Sharon","Auditor General","",,"Elizabeth M Ready",227
"Caledonia","Sheffield","Sheffield","Auditor General","",,"Elizabeth M Ready",69
"Chittenden","Shelburne","Chittenden 5-1","Auditor General","",,"Elizabeth M Ready",933
"Chittenden","Shelburne","Chittenden 5-2","Auditor General","",,"Elizabeth M Ready",725
"Franklin","Sheldon","Sheldon","Auditor General","",,"Elizabeth M Ready",315
"Addison","Shoreham","Shoreham","Auditor General","",,"Elizabeth M Ready",207
"Rutland","Shrewsbury","Shrewsbury","Auditor General","",,"Elizabeth M Ready",220
"Chittenden","South Burlington","Chittenden 3-10","Auditor General","",,"Elizabeth M Ready",860
"Chittenden","South Burlington","Chittenden 3-7","Auditor General","",,"Elizabeth M Ready",773
"Chittenden","South Burlington","Chittenden 3-8","Auditor General","",,"Elizabeth M Ready",814
"Chittenden","South Burlington","Chittenden 3-9","Auditor General","",,"Elizabeth M Ready",948
"Grand Isle","South Hero","S. Hero","Auditor General","",,"Elizabeth M Ready",449
"Windsor","Springfield","Windsor 1-1","Auditor General","",,"Elizabeth M Ready",14
"Windsor","Springfield","Windsor 1-2","Auditor General","",,"Elizabeth M Ready",1700
,"Saint  Albans City","St. Albans City","Auditor General","",,"Elizabeth M Ready",1110
,"Saint  Albans Town","St. Albans Town","Auditor General","",,"Elizabeth M Ready",930
,"Saint  George","St. George","Auditor General","",,"Elizabeth M Ready",136
,"Saint  Johnsbury","St. Johnsbury","Auditor General","",,"Elizabeth M Ready",767
