"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"152251","2008","Auditor","Primary","","Addison","","Thomas M. Salmon","Democratic","30"
"152252","2008","Auditor","Primary","","Albany","","Thomas M. Salmon","Democratic","20"
"152253","2008","Auditor","Primary","","Alburgh","","Thomas M. Salmon","Democratic","38"
"152254","2008","Auditor","Primary","","Andover","","Thomas M. Salmon","Democratic","20"
"152255","2008","Auditor","Primary","","Arlington","","Thomas M. Salmon","Democratic","67"
"152256","2008","Auditor","Primary","","Athens","","Thomas M. Salmon","Democratic","11"
"152257","2008","Auditor","Primary","","Bakersfield","","Thomas M. Salmon","Democratic","36"
"152258","2008","Auditor","Primary","","Baltimore","","Thomas M. Salmon","Democratic","14"
"152259","2008","Auditor","Primary","","Barnard","","Thomas M. Salmon","Democratic","28"
"152260","2008","Auditor","Primary","","Barnet","","Thomas M. Salmon","Democratic","38"
"152261","2008","Auditor","Primary","","Barre City","Washington 3-1","Thomas M. Salmon","Democratic","74"
"152262","2008","Auditor","Primary","","Barre City","Washington 3-2","Thomas M. Salmon","Democratic","40"
"152263","2008","Auditor","Primary","","Barre City","Washington 3-3","Thomas M. Salmon","Democratic","12"
"152264","2008","Auditor","Primary","","Barre Town","","Thomas M. Salmon","Democratic","140"
"152265","2008","Auditor","Primary","","Barton","","Thomas M. Salmon","Democratic","50"
"152266","2008","Auditor","Primary","","Belvidere","","Thomas M. Salmon","Democratic","6"
"152267","2008","Auditor","Primary","","Bennington","Bennington 2-1","Thomas M. Salmon","Democratic","37"
"152268","2008","Auditor","Primary","","Bennington","Bennington 2-2","Thomas M. Salmon","Democratic","2"
"152269","2008","Auditor","Primary","","Bennington","Bennington 5","Thomas M. Salmon","Democratic","3"
"152270","2008","Auditor","Primary","","Benson","","Thomas M. Salmon","Democratic","22"
"152271","2008","Auditor","Primary","","Berkshire","","Thomas M. Salmon","Democratic","36"
"152272","2008","Auditor","Primary","","Berlin","","Thomas M. Salmon","Democratic","59"
"152273","2008","Auditor","Primary","","Bethel","","Thomas M. Salmon","Democratic","67"
"152274","2008","Auditor","Primary","","Bloomfield","","Thomas M. Salmon","Democratic","14"
"152275","2008","Auditor","Primary","","Bolton","","Thomas M. Salmon","Democratic","52"
"152276","2008","Auditor","Primary","","Bradford","","Thomas M. Salmon","Democratic","71"
"152277","2008","Auditor","Primary","","Braintree","","Thomas M. Salmon","Democratic","31"
"152278","2008","Auditor","Primary","","Brandon","","Thomas M. Salmon","Democratic","80"
"152279","2008","Auditor","Primary","","Brattleboro","Windham 3-1","Thomas M. Salmon","Democratic","133"
"152280","2008","Auditor","Primary","","Brattleboro","Windham 3-2","Thomas M. Salmon","Democratic","143"
"152281","2008","Auditor","Primary","","Brattleboro","Windham 3-3","Thomas M. Salmon","Democratic","131"
"152282","2008","Auditor","Primary","","Bridgewater","","Thomas M. Salmon","Democratic","20"
"152283","2008","Auditor","Primary","","Bridport","","Thomas M. Salmon","Democratic","27"
