"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"142575","2006","Auditor","Primary","","Addison","","Thomas M. Salmon","Democratic","46"
"142576","2006","Auditor","Primary","","Albany","","Thomas M. Salmon","Democratic","26"
"142577","2006","Auditor","Primary","","Alburgh","","Thomas M. Salmon","Democratic","69"
"142578","2006","Auditor","Primary","","Andover","","Thomas M. Salmon","Democratic","40"
"142579","2006","Auditor","Primary","","Arlington","","Thomas M. Salmon","Democratic","77"
"142580","2006","Auditor","Primary","","Athens","","Thomas M. Salmon","Democratic","17"
"142581","2006","Auditor","Primary","","Bakersfield","","Thomas M. Salmon","Democratic","54"
"142582","2006","Auditor","Primary","","Baltimore","","Thomas M. Salmon","Democratic","12"
"142583","2006","Auditor","Primary","","Barnard","","Thomas M. Salmon","Democratic","70"
"142584","2006","Auditor","Primary","","Barnet","","Thomas M. Salmon","Democratic","73"
"142585","2006","Auditor","Primary","","Barre City","Washington 3-1","Thomas M. Salmon","Democratic","159"
"142586","2006","Auditor","Primary","","Barre City","Washington 3-2","Thomas M. Salmon","Democratic","124"
"142587","2006","Auditor","Primary","","Barre City","Washington 3-3","Thomas M. Salmon","Democratic","28"
"142588","2006","Auditor","Primary","","Barre Town","","Thomas M. Salmon","Democratic","292"
"142589","2006","Auditor","Primary","","Barton","","Thomas M. Salmon","Democratic","85"
"142590","2006","Auditor","Primary","","Belvidere","","Thomas M. Salmon","Democratic","7"
"142591","2006","Auditor","Primary","","Bennington","Bennington 2-1","Thomas M. Salmon","Democratic","206"
"142592","2006","Auditor","Primary","","Bennington","Bennington 2-1 Nb","Thomas M. Salmon","Democratic","54"
"142593","2006","Auditor","Primary","","Bennington","Bennington 2-2","Thomas M. Salmon","Democratic","218"
"142594","2006","Auditor","Primary","","Bennington","Bennington 5","Thomas M. Salmon","Democratic","2"
"142595","2006","Auditor","Primary","","Benson","","Thomas M. Salmon","Democratic","35"
"142596","2006","Auditor","Primary","","Berkshire","","Thomas M. Salmon","Democratic","47"
"142597","2006","Auditor","Primary","","Berlin","","Thomas M. Salmon","Democratic","120"
"142598","2006","Auditor","Primary","","Bethel","","Thomas M. Salmon","Democratic","111"
"142599","2006","Auditor","Primary","","Bloomfield","","Thomas M. Salmon","Democratic","11"
"142600","2006","Auditor","Primary","","Bolton","","Thomas M. Salmon","Democratic","66"
"142601","2006","Auditor","Primary","","Bradford","","Thomas M. Salmon","Democratic","129"
"142602","2006","Auditor","Primary","","Braintree","","Thomas M. Salmon","Democratic","59"
"142603","2006","Auditor","Primary","","Brandon","","Thomas M. Salmon","Democratic","192"
"142604","2006","Auditor","Primary","","Brattleboro","Windham 3-1","Thomas M. Salmon","Democratic","225"
"142605","2006","Auditor","Primary","","Brattleboro","Windham 3-2","Thomas M. Salmon","Democratic","260"
"142606","2006","Auditor","Primary","","Brattleboro","Windham 3-3","Thomas M. Salmon","Democratic","223"
"142607","2006","Auditor","Primary","","Bridgewater","","Thomas M. Salmon","Democratic","65"
"142608","2006","Auditor","Primary","","Bridport","","Thomas M. Salmon","Democratic","68"
"142609","2006","Auditor","Primary","","Brighton","","Thomas M. Salmon","Democratic","78"
"142610","2006","Auditor","Primary","","Bristol","","Thomas M. Salmon","Democratic","161"
"142611","2006","Auditor","Primary","","Brookfield","","Thomas M. Salmon","Democratic","63"
"142612","2006","Auditor","Primary","","Brookline","","Thomas M. Salmon","Democratic","32"
"142613","2006","Auditor","Primary","","Brownington","","Thomas M. Salmon","Democratic","25"
"142614","2006","Auditor","Primary","","Brunswick","","Thomas M. Salmon","Democratic","9"
"142615","2006","Auditor","Primary","","Burke","","Thomas M. Salmon","Democratic","38"
"142616","2006","Auditor","Primary","","Burlington","Chittenden 3-1","Thomas M. Salmon","Democratic","637"
"142617","2006","Auditor","Primary","","Burlington","Chittenden 3-2","Thomas M. Salmon","Democratic","335"
"142618","2006","Auditor","Primary","","Burlington","Chittenden 3-3","Thomas M. Salmon","Democratic","463"
"142619","2006","Auditor","Primary","","Burlington","Chittenden 3-4","Thomas M. Salmon","Democratic","269"
"142620","2006","Auditor","Primary","","Burlington","Chittenden 3-5","Thomas M. Salmon","Democratic","924"
"142621","2006","Auditor","Primary","","Burlington","Chittenden 3-6","Thomas M. Salmon","Democratic","106"
"142622","2006","Auditor","Primary","","Cabot","","Thomas M. Salmon","Democratic","60"
"142623","2006","Auditor","Primary","","Calais","","Thomas M. Salmon","Democratic","165"
"142624","2006","Auditor","Primary","","Cambridge","","Thomas M. Salmon","Democratic","77"
"142625","2006","Auditor","Primary","","Canaan","","Thomas M. Salmon","Democratic","38"
"142626","2006","Auditor","Primary","","Castleton","","Thomas M. Salmon","Democratic","62"
"142627","2006","Auditor","Primary","","Cavendish","","Thomas M. Salmon","Democratic","89"
"142628","2006","Auditor","Primary","","Charleston","","Thomas M. Salmon","Democratic","23"
"142629","2006","Auditor","Primary","","Charlotte","","Thomas M. Salmon","Democratic","425"
"142630","2006","Auditor","Primary","","Chelsea","","Thomas M. Salmon","Democratic","67"
"142631","2006","Auditor","Primary","","Chester","","Thomas M. Salmon","Democratic","232"
"142632","2006","Auditor","Primary","","Chittenden","","Thomas M. Salmon","Democratic","34"
"142633","2006","Auditor","Primary","","Clarendon","","Thomas M. Salmon","Democratic","72"
"142634","2006","Auditor","Primary","","Colchester","Chittenden 7-1","Thomas M. Salmon","Democratic","176"
"142635","2006","Auditor","Primary","","Colchester","Chittenden 7-2","Thomas M. Salmon","Democratic","329"
"142636","2006","Auditor","Primary","","Concord","","Thomas M. Salmon","Democratic","38"
"142637","2006","Auditor","Primary","","Corinth","","Thomas M. Salmon","Democratic","93"
"142638","2006","Auditor","Primary","","Cornwall","","Thomas M. Salmon","Democratic","97"
"142639","2006","Auditor","Primary","","Coventry","","Thomas M. Salmon","Democratic","32"
"142640","2006","Auditor","Primary","","Craftsbury","","Thomas M. Salmon","Democratic","81"
"142641","2006","Auditor","Primary","","Danby","","Thomas M. Salmon","Democratic","108"
"142642","2006","Auditor","Primary","","Danville","","Thomas M. Salmon","Democratic","94"
"142643","2006","Auditor","Primary","","Derby","","Thomas M. Salmon","Democratic","138"
"142644","2006","Auditor","Primary","","Dorset","","Thomas M. Salmon","Democratic","74"
"142645","2006","Auditor","Primary","","Dover","","Thomas M. Salmon","Democratic","30"
"142646","2006","Auditor","Primary","","Dummerston","","Thomas M. Salmon","Democratic","216"
"142647","2006","Auditor","Primary","","Duxbury","","Thomas M. Salmon","Democratic","58"
"142648","2006","Auditor","Primary","","E. Haven","","Thomas M. Salmon","Democratic","18"
"142649","2006","Auditor","Primary","","E. Montpelier","","Thomas M. Salmon","Democratic","134"
"142650","2006","Auditor","Primary","","Eden","","Thomas M. Salmon","Democratic","44"
"142651","2006","Auditor","Primary","","Elmore","","Thomas M. Salmon","Democratic","53"
"142652","2006","Auditor","Primary","","Enosburgh","","Thomas M. Salmon","Democratic","82"
"142653","2006","Auditor","Primary","","Essex","Chittenden 6-1","Thomas M. Salmon","Democratic","191"
"142654","2006","Auditor","Primary","","Essex","Chittenden 6-2","Thomas M. Salmon","Democratic","295"
"142655","2006","Auditor","Primary","","Essex","Chittenden 6-3","Thomas M. Salmon","Democratic","86"
"142656","2006","Auditor","Primary","","Fair Haven","","Thomas M. Salmon","Democratic","42"
"142657","2006","Auditor","Primary","","Fairfax","","Thomas M. Salmon","Democratic","97"
"142658","2006","Auditor","Primary","","Fairfield","","Thomas M. Salmon","Democratic","91"
"142659","2006","Auditor","Primary","","Fairlee","","Thomas M. Salmon","Democratic","60"
"142660","2006","Auditor","Primary","","Fayston","","Thomas M. Salmon","Democratic","41"
"142661","2006","Auditor","Primary","","Ferrisburgh","","Thomas M. Salmon","Democratic","139"
"142662","2006","Auditor","Primary","","Fletcher","","Thomas M. Salmon","Democratic","36"
"142663","2006","Auditor","Primary","","Franklin","","Thomas M. Salmon","Democratic","62"
"142664","2006","Auditor","Primary","","Georgia","","Thomas M. Salmon","Democratic","104"
"142665","2006","Auditor","Primary","","Glover","","Thomas M. Salmon","Democratic","46"
"142666","2006","Auditor","Primary","","Goshen","","Thomas M. Salmon","Democratic","12"
"142667","2006","Auditor","Primary","","Grafton","","Thomas M. Salmon","Democratic","46"
"142668","2006","Auditor","Primary","","Granby","","Thomas M. Salmon","Democratic","3"
"142669","2006","Auditor","Primary","","Grand Isle","","Thomas M. Salmon","Democratic","113"
"142670","2006","Auditor","Primary","","Granville","","Thomas M. Salmon","Democratic","16"
"142671","2006","Auditor","Primary","","Greensboro","","Thomas M. Salmon","Democratic","62"
"142672","2006","Auditor","Primary","","Groton","","Thomas M. Salmon","Democratic","34"
"142673","2006","Auditor","Primary","","Guildhall","","Thomas M. Salmon","Democratic","3"
"142674","2006","Auditor","Primary","","Guilford","","Thomas M. Salmon","Democratic","114"
"142675","2006","Auditor","Primary","","Halifax","","Thomas M. Salmon","Democratic","26"
"142676","2006","Auditor","Primary","","Hancock","","Thomas M. Salmon","Democratic","15"
"142677","2006","Auditor","Primary","","Hardwick","","Thomas M. Salmon","Democratic","148"
"142678","2006","Auditor","Primary","","Hartford","Windsor 6-1","Thomas M. Salmon","Democratic","80"
"142679","2006","Auditor","Primary","","Hartford","Windsor 6-2","Thomas M. Salmon","Democratic","327"
"142680","2006","Auditor","Primary","","Hartland","","Thomas M. Salmon","Democratic","405"
