"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","",,"Thomas M Salmon",423
"Orleans","Albany","Albany","Auditor General","",,"Thomas M Salmon",219
"Grand Isle","Alburgh","Alburgh","Auditor General","",,"Thomas M Salmon",424
"Windsor","Andover","Andover","Auditor General","",,"Thomas M Salmon",123
"Bennington","Arlington","Arlington","Auditor General","",,"Thomas M Salmon",477
"Windham","Athens","Athens","Auditor General","",,"Thomas M Salmon",63
"Franklin","Bakersfield","Bakersfield","Auditor General","",,"Thomas M Salmon",309
"Windsor","Baltimore","Baltimore","Auditor General","",,"Thomas M Salmon",50
"Windsor","Barnard","Barnard","Auditor General","",,"Thomas M Salmon",229
"Caledonia","Barnet","Barnet","Auditor General","",,"Thomas M Salmon",453
"Washington","Barre City","Washington 3-1","Auditor General","",,"Thomas M Salmon",772
"Washington","Barre City","Washington 3-2","Auditor General","",,"Thomas M Salmon",611
"Washington","Barre City","Washington 3-3","Auditor General","",,"Thomas M Salmon",121
"Washington","Barre Town","Barre Town","Auditor General","",,"Thomas M Salmon",2236
"Orleans","Barton","Barton","Auditor General","",,"Thomas M Salmon",541
"Lamoille","Belvidere","Belvidere","Auditor General","",,"Thomas M Salmon",77
"Bennington","Bennington","Bennington 2-1","Auditor General","",,"Thomas M Salmon",1067
"Bennington","Bennington","Bennington 2-2","Auditor General","",,"Thomas M Salmon",1022
"Rutland","Benson","Benson","Auditor General","",,"Thomas M Salmon",212
"Franklin","Berkshire","Berkshire","Auditor General","",,"Thomas M Salmon",276
"Washington","Berlin","Berlin","Auditor General","",,"Thomas M Salmon",622
"Windsor","Bethel","Bethel","Auditor General","",,"Thomas M Salmon",390
"Essex","Bloomfield","Bloomfield","Auditor General","",,"Thomas M Salmon",41
"Chittenden","Bolton","Bolton","Auditor General","",,"Thomas M Salmon",246
"Orange","Bradford","Bradford","Auditor General","",,"Thomas M Salmon",501
"Orange","Braintree","Braintree","Auditor General","",,"Thomas M Salmon",268
"Rutland","Brandon","Brandon","Auditor General","",,"Thomas M Salmon",751
"Windham","Brattleboro","Windham 3-1","Auditor General","",,"Thomas M Salmon",659
"Windham","Brattleboro","Windham 3-2","Auditor General","",,"Thomas M Salmon",385
"Windham","Brattleboro","Windham 3-3","Auditor General","",,"Thomas M Salmon",312
"Windsor","Bridgewater","Bridgewater","Auditor General","",,"Thomas M Salmon",215
"Addison","Bridport","Bridport","Auditor General","",,"Thomas M Salmon",351
"Essex","Brighton","Brighton","Auditor General","",,"Thomas M Salmon",299
"Addison","Bristol","Bristol","Auditor General","",,"Thomas M Salmon",774
"Orange","Brookfield","Brookfield","Auditor General","",,"Thomas M Salmon",268
"Windham","Brookline","Brookline","Auditor General","",,"Thomas M Salmon",88
"Orleans","Brownington","Brownington","Auditor General","",,"Thomas M Salmon",193
"Essex","Brunswick","Brunswick","Auditor General","",,"Thomas M Salmon",30
"Caledonia","Burke","Burke","Auditor General","",,"Thomas M Salmon",385
"Chittenden","Burlington","Chittenden 3-1","Auditor General","",,"Thomas M Salmon",1359
"Chittenden","Burlington","Chittenden 3-2","Auditor General","",,"Thomas M Salmon",658
"Chittenden","Burlington","Chittenden 3-3","Auditor General","",,"Thomas M Salmon",416
"Chittenden","Burlington","Chittenden 3-4","Auditor General","",,"Thomas M Salmon",343
"Chittenden","Burlington","Chittenden 3-5","Auditor General","",,"Thomas M Salmon",914
"Chittenden","Burlington","Chittenden 3-6","Auditor General","",,"Thomas M Salmon",95
"Washington","Cabot","Cabot","Auditor General","",,"Thomas M Salmon",277
"Washington","Calais","Calais","Auditor General","",,"Thomas M Salmon",311
"Lamoille","Cambridge","Cambridge","Auditor General","",,"Thomas M Salmon",737
"Essex","Canaan","Canaan","Auditor General","",,"Thomas M Salmon",188
"Rutland","Castleton","Castleton","Auditor General","",,"Thomas M Salmon",761
"Windsor","Cavendish","Cavendish","Auditor General","",,"Thomas M Salmon",298
"Orleans","Charleston","Charleston","Auditor General","",,"Thomas M Salmon",216
"Chittenden","Charlotte","Charlotte","Auditor General","",,"Thomas M Salmon",870
