"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55085","2008","Auditor","General","","Derby","","Thomas M. Salmon","Democratic/Republican","1,939"
"55086","2008","Auditor","General","","Dorset","","Thomas M. Salmon","Democratic/Republican","985"
"55087","2008","Auditor","General","","Dover","","Thomas M. Salmon","Democratic/Republican","521"
"55088","2008","Auditor","General","","Dummerston","","Thomas M. Salmon","Democratic/Republican","878"
"55089","2008","Auditor","General","","Duxbury","","Thomas M. Salmon","Democratic/Republican","556"
"55090","2008","Auditor","General","","E. Haven","","Thomas M. Salmon","Democratic/Republican","118"
"55091","2008","Auditor","General","","E. Montpelier","","Thomas M. Salmon","Democratic/Republican","1,303"
"55092","2008","Auditor","General","","Eden","","Thomas M. Salmon","Democratic/Republican","370"
"55093","2008","Auditor","General","","Elmore","","Thomas M. Salmon","Democratic/Republican","395"
"55094","2008","Auditor","General","","Enosburgh","","Thomas M. Salmon","Democratic/Republican","951"
"55095","2008","Auditor","General","","Essex","Chittenden 6-1","Thomas M. Salmon","Democratic/Republican","3,285"
"55096","2008","Auditor","General","","Essex","Chittenden 6-2","Thomas M. Salmon","Democratic/Republican","3,758"
"55097","2008","Auditor","General","","Essex","Chittenden 6-3","Thomas M. Salmon","Democratic/Republican","1,032"
"55098","2008","Auditor","General","","Fair Haven","","Thomas M. Salmon","Democratic/Republican","1,025"
"55099","2008","Auditor","General","","Fairfax","","Thomas M. Salmon","Democratic/Republican","1,682"
"55100","2008","Auditor","General","","Fairfield","","Thomas M. Salmon","Democratic/Republican","779"
"55101","2008","Auditor","General","","Fairlee","","Thomas M. Salmon","Democratic/Republican","430"
"55102","2008","Auditor","General","","Fayston","","Thomas M. Salmon","Democratic/Republican","601"
"55103","2008","Auditor","General","","Ferrisburgh","","Thomas M. Salmon","Democratic/Republican","1,212"
"55104","2008","Auditor","General","","Fletcher","","Thomas M. Salmon","Democratic/Republican","503"
"55105","2008","Auditor","General","","Franklin","","Thomas M. Salmon","Democratic/Republican","504"
"55106","2008","Auditor","General","","Georgia","","Thomas M. Salmon","Democratic/Republican","1,784"
"55107","2008","Auditor","General","","Glover","","Thomas M. Salmon","Democratic/Republican","471"
"55108","2008","Auditor","General","","Goshen","","Thomas M. Salmon","Democratic/Republican","92"
"55109","2008","Auditor","General","","Grafton","","Thomas M. Salmon","Democratic/Republican","305"
"55110","2008","Auditor","General","","Granby","","Thomas M. Salmon","Democratic/Republican","35"
"55111","2008","Auditor","General","","Grand Isle","","Thomas M. Salmon","Democratic/Republican","986"
"55112","2008","Auditor","General","","Granville","","Thomas M. Salmon","Democratic/Republican","121"
"55113","2008","Auditor","General","","Greensboro","","Thomas M. Salmon","Democratic/Republican","361"
"55114","2008","Auditor","General","","Groton","","Thomas M. Salmon","Democratic/Republican","365"
"55115","2008","Auditor","General","","Guildhall","","Thomas M. Salmon","Democratic/Republican","102"
"55116","2008","Auditor","General","","Guilford","","Thomas M. Salmon","Democratic/Republican","845"
"55117","2008","Auditor","General","","Halifax","","Thomas M. Salmon","Democratic/Republican","257"
"55118","2008","Auditor","General","","Hancock","","Thomas M. Salmon","Democratic/Republican","145"
"55119","2008","Auditor","General","","Hardwick","","Thomas M. Salmon","Democratic/Republican","1,162"
"55120","2008","Auditor","General","","Hartford","Windsor 6-1","Thomas M. Salmon","Democratic/Republican","917"
"55121","2008","Auditor","General","","Hartford","Windsor 6-2","Thomas M. Salmon","Democratic/Republican","2,964"
"55122","2008","Auditor","General","","Hartland","","Thomas M. Salmon","Democratic/Republican","1,441"
