City/Town,Ward,Pct,"Rodney Graham",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Chelsea,,,107,62,132,3,304
Corinth,,,65,16,115,0,196
Orange,,,106,32,159,1,298
Vershire,,,45,6,63,0,114
Washington,,,86,13,133,0,232
Williamstown,,,318,62,338,0,718
TOTALS,,,727,191,940,4,"1,862"
