City/Town,Ward,Pct,"Donald H. Turner, Jr","Ron Hubert",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Milton,,,796,680,4,266,0,"1,746"
TOTALS,,,796,680,4,266,0,"1,746"
