City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Athens,,,24,20,0,24,0,68
Brookline,,,64,55,0,39,2,160
Grafton,,,93,69,2,92,0,256
Rockingham,,,459,456,2,225,0,"1,142"
Westminster,,,14,15,0,5,0,34
Windham,,,81,59,0,50,0,190
TOTALS,,,735,674,4,435,2,"1,850"
