City/Town,Ward,Pct,"Lucien G. Gravel","Riki French",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Belvidere,,,22,18,0,28,0,68
"Hyde Park",,,232,200,6,281,1,720
Johnson,,,98,87,2,163,0,350
Wolcott,,,99,55,11,97,0,262
TOTALS,,,451,360,19,569,1,"1,400"
