City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Dummerston,,,325,312,0,133,0,770
Putney,,,382,332,3,147,0,864
Westminster,,,372,413,3,174,0,962
TOTALS,,,"1,079","1,057",6,454,0,"2,596"
