City/Town,Ward,Pct,"Dave Sharpe","Mari Cordes","Stephen Pilcher",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Bristol,,,347,280,168,12,163,0,970
Lincoln,,,178,219,76,3,112,0,588
Monkton,,,164,101,238,2,93,0,598
Starksboro,,,198,148,95,2,103,0,546
TOTALS,,,887,748,577,19,471,0,"2,702"
