City/Town,Ward,Pct,"George Till","Trevor Squirrell",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Jericho,,,712,493,2,457,0,"1,664"
Underhill,,,390,367,3,278,0,"1,038"
TOTALS,,,"1,102",860,5,735,0,"2,702"
