City/Town,Ward,Pct,"Jason Moquin","Robert M. Brown",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Alburgh,,,83,100,23,70,0,276
"Grand Isle",,,157,88,32,133,0,410
"Isle La Motte",,,20,21,9,52,0,102
Milton,,,122,106,1,107,0,336
"N. Hero",,,69,56,22,79,0,226
"S. Hero",,,180,110,22,238,0,550
TOTALS,,,631,481,109,679,0,"1,900"
