City/Town,Ward,Pct,"Marcia Lawrence Gardner","Scott Lowe","Steve May",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Richmond,,,407,219,187,1,71,2,887
TOTALS,,,407,219,187,1,71,2,887
