City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Castleton,,,324,303,2,131,0,760
"Fair Haven",,,197,187,8,68,0,460
Hubbardton,,,55,56,0,25,0,136
"W. Haven",,,17,14,1,4,0,36
TOTALS,,,593,560,11,228,0,"1,392"
