City/Town,Ward,Pct,"John Gannon",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Halifax,,,113,0,67,0,180
Whitingham,,,60,1,18,0,79
Wilmington,,,142,3,35,0,180
TOTALS,,,315,4,120,0,439
