City/Town,Ward,Pct,"Patsy French","Jay Hooper",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Braintree,,,101,70,8,59,0,238
Brookfield,,,142,129,19,77,1,368
Granville,,,40,26,0,30,0,96
Randolph,,,447,316,17,303,1,"1,084"
Roxbury,,,63,53,1,53,0,170
TOTALS,,,793,594,45,522,2,"1,956"
