City/Town,Ward,Pct,"David Zuckerman","Shap Smith","Kesha Ram",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Middlesex,,,181,173,77,0,17,0,448
"Middletown Springs",,,57,20,25,0,3,1,106
Milton,-,"Chittenden 10",239,186,83,0,17,0,525
Milton,-,"Grand Isle-Chittenden",54,40,16,0,0,3,113
Monkton,,,148,98,45,2,6,0,299
Montgomery,,,79,37,17,0,4,0,137
Montpelier,,,897,820,341,3,45,0,"2,106"
Moretown,,,132,101,35,1,5,1,275
Morgan,,,10,16,8,0,3,0,37
Morristown,,,185,541,32,2,13,0,773
"Mount Holly",,,65,52,23,0,6,0,146
"Mount Tabor",,,4,3,4,0,1,0,12
"New Haven",,,116,94,39,0,6,0,255
Newark,,,25,23,16,0,4,0,68
Newbury,,,75,103,28,5,14,0,225
Newfane,,,172,140,58,0,33,0,403
"Newport City",,,100,103,37,7,6,0,253
"Newport Town",,,39,26,9,3,4,0,81
"N. Hero",,,82,65,20,4,17,0,188
Northfield,,,191,143,42,2,8,0,386
Norton,,,7,3,2,0,0,0,12
Norwich,,,355,352,174,4,85,1,971
Orange,,,34,34,9,1,4,0,82
Orwell,,,39,45,16,0,2,0,102
Panton,,,34,14,12,0,2,0,62
Pawlet,,,67,53,35,0,5,0,160
Peacham,,,60,60,27,0,6,0,153
Peru,,,20,19,8,0,4,0,51
Pittsfield,,,35,18,5,1,2,0,61
Pittsford,,,79,93,27,1,18,0,218
Plainfield,,,133,72,26,1,5,0,237
Plymouth,,,25,27,16,1,4,0,73
Pomfret,,,84,92,13,0,17,0,206
Poultney,,,99,51,35,0,3,0,188
Pownal,,,64,83,29,0,11,0,187
Proctor,,,51,46,13,0,5,0,115
Putney,,,171,140,111,0,10,0,432
Randolph,,,230,225,65,4,18,0,542
Reading,,,46,51,16,4,18,1,136
Readsboro,,,23,18,15,0,5,0,61
Richford,,,61,41,10,0,6,0,118
Richmond,,,396,346,125,0,19,1,887
Ripton,,,67,44,13,0,4,0,128
Rochester,,,114,48,18,2,14,2,198
Rockingham,,,217,186,145,2,21,0,571
Roxbury,,,45,26,11,0,3,0,85
Royalton,,,148,104,46,1,17,0,316
Rupert,,,35,29,25,0,8,0,97
"Rutland City",-,"Rutland 5-1",120,169,66,0,21,1,377
"Rutland City",-,"Rutland 5-2",109,106,35,0,9,1,260
"Rutland City",-,"Rutland 5-3",60,62,18,0,5,0,145
"Rutland City",-,"Rutland 5-4",119,88,33,3,6,1,250
"Rutland Town",,,134,139,57,1,15,0,346
Ryegate,,,44,38,16,1,4,1,104
Salisbury,,,42,68,7,1,4,0,122
Sandgate,,,22,14,10,0,3,0,49
Searsburg,,,2,0,1,0,0,0,3
Shaftsbury,,,97,107,66,0,19,0,289
Sharon,,,111,83,35,0,6,0,235
Sheffield,,,26,12,6,2,5,0,51
Shelburne,-,"Chittenden 5-1",348,371,167,2,36,0,924
Shelburne,-,"Chittenden 5-2",218,220,73,2,18,0,531
Sheldon,,,38,27,17,3,5,0,90
Shoreham,,,75,57,26,0,8,0,166
Shrewsbury,,,60,45,30,2,4,0,141
"S. Burlington",-,"Chittenden 7-1",348,283,173,0,28,0,832
"S. Burlington",-,"Chittenden 7-2",307,289,153,1,28,2,780
