City/Town,Ward,Pct,"Dexter Lefavour",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
"E. Montpelier",,,182,17,68,0,267
Middlesex,,,145,2,44,0,191
TOTALS,,,327,19,112,0,458
