City/Town,Ward,Pct,"Deborah ""Deb"" Bucknam",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"Rutland City",-,"Rutland 5-3",94,0,57,1,152
"Rutland City",-,"Rutland 5-4",161,0,91,10,262
"Rutland Town",,,341,3,178,1,523
Ryegate,,,77,1,26,1,105
Salisbury,,,53,1,24,0,78
Sandgate,,,22,0,10,0,32
Searsburg,,,8,0,2,0,10
Shaftsbury,,,101,4,48,0,153
Sharon,,,49,1,18,0,68
Sheffield,,,39,3,11,0,53
Shelburne,-,"Chittenden 5-1",273,13,143,0,429
Shelburne,-,"Chittenden 5-2",225,15,105,0,345
Sheldon,,,90,14,48,0,152
Shoreham,,,55,0,28,0,83
Shrewsbury,,,82,1,34,0,117
"S. Burlington",-,"Chittenden 7-1",247,10,102,0,359
"S. Burlington",-,"Chittenden 7-2",293,11,146,2,452
"S. Burlington",-,"Chittenden 7-3",174,4,73,2,253
"S. Burlington",-,"Chittenden 7-4",234,7,115,0,356
"S. Hero",,,162,5,108,0,275
Springfield,-,"Windsor 3-1",13,0,6,0,19
Springfield,-,"Windsor 3-2",344,5,84,0,433
"St. Albans City",,,268,28,0,125,421
"St. Albans Town",-,"Franklin 3-1",137,8,53,0,198
"St. Albans Town",-,"Franklin 3-2",286,44,132,0,462
"St. George",,,33,3,8,1,45
"St. Johnsbury",,,399,18,89,1,507
Stamford,,,21,3,6,0,30
Stannard,,,9,0,0,0,9
Starksboro,,,113,1,46,0,160
Stockbridge,,,42,4,24,0,70
Stowe,,,277,14,130,0,421
Strafford,,,29,0,23,1,53
Stratton,,,21,1,2,0,24
Sudbury,,,41,1,14,0,56
Sunderland,-,"Bennington 3",6,0,3,0,9
Sunderland,-,"Bennington 4",27,1,14,0,42
Sutton,,,59,3,13,0,75
Swanton,,,401,23,115,0,539
Thetford,,,89,2,36,0,127
Tinmouth,-,"Rutland 2",5,0,1,0,6
Tinmouth,-,Rutland-Bennington,18,0,7,0,25
Topsham,,,71,2,40,1,114
Townshend,,,37,2,16,0,55
Troy,-,"Orleans 2",16,2,6,0,24
Troy,-,Orleans-Lamoille,39,6,18,0,63
Tunbridge,,,76,11,44,0,131
Underhill,,,227,4,86,0,317
Vergennes,,,128,5,53,0,186
Vernon,,,184,4,108,0,296
Vershire,,,43,1,13,0,57
Victory,,,12,10,1,0,23
Waitsfield,,,126,2,62,0,190
Walden,,,83,3,21,0,107
Wallingford,,,114,3,44,0,161
Waltham,,,29,0,20,0,49
Wardsboro,,,35,0,9,0,44
Warren,,,77,2,42,1,122
Washington,,,69,8,39,0,116
Waterbury,,,270,6,174,0,450
Waterford,,,117,1,0,29,147
Waterville,,,42,0,32,0,74
Weathersfield,,,166,1,61,0,228
Wells,,,66,0,21,0,87
"W. Fairlee",,,23,0,10,0,33
