City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Shelburne,-,"Chittenden 5-2",-,1,0,0,1
Sheldon,,,-,2,1,0,3
"S. Burlington",-,"Chittenden 7-1",-,0,1,1,2
"S. Burlington",-,"Chittenden 7-2",-,0,1,0,1
"S. Burlington",-,"Chittenden 7-3",-,3,3,0,6
"S. Burlington",-,"Chittenden 7-4",-,2,2,0,4
"S. Hero",,,-,2,1,0,3
Springfield,-,"Windsor 3-1",-,0,0,0,0
Springfield,-,"Windsor 3-2",-,0,1,0,1
"St. Albans City",,,-,12,0,6,18
"St. Albans Town",-,"Franklin 3-1",-,1,0,0,1
"St. Albans Town",-,"Franklin 3-2",-,1,1,0,2
"St. Johnsbury",,,-,3,2,0,5
Stockbridge,,,-,0,2,0,2
Sudbury,,,-,0,0,1,1
Swanton,,,-,1,1,0,2
Thetford,,,-,1,0,0,1
Tinmouth,-,"Rutland 2",-,0,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,2,0,2
Troy,-,"Orleans 2",-,2,0,0,2
Troy,-,Orleans-Lamoille,-,2,0,0,2
Tunbridge,,,-,3,2,0,5
Underhill,,,-,5,0,0,5
Vergennes,,,-,2,3,0,5
Vernon,,,-,0,2,0,2
Vershire,,,-,2,0,0,2
Waitsfield,,,-,1,0,0,1
Walden,,,-,4,1,0,5
Wallingford,,,-,2,1,0,3
Warren,,,-,1,0,0,1
Washington,,,-,2,0,0,2
Waterbury,,,-,2,0,0,2
Weathersfield,,,-,3,0,0,3
Wells,,,-,1,1,0,2
"W. Rutland",,,-,2,0,0,2
Westford,,,-,1,1,0,2
Westminster,-,"Windham 3",-,0,0,0,0
Westminster,-,"Windham 4",-,2,0,1,3
Weybridge,,,-,0,2,0,2
Wheelock,,,-,1,0,0,1
Williamstown,,,-,3,0,0,3
Williston,,,-,4,0,0,4
Windham,,,-,0,1,0,1
Windsor,,,-,1,0,0,1
Winhall,,,-,1,1,0,2
Winooski,,,-,5,7,0,12
Wolcott,,,-,2,0,0,2
Woodstock,,,-,3,2,0,5
Worcester,,,-,3,2,0,5
TOTALS,,,-,385,175,16,576
