City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Plainfield,,,186,0,50,1,237
Plymouth,,,47,1,25,0,73
Pomfret,,,177,0,28,1,206
Poultney,,,149,1,38,0,188
Pownal,,,159,0,28,0,187
Proctor,,,93,0,22,0,115
Putney,,,333,0,99,0,432
Randolph,,,452,2,87,1,542
Reading,,,93,1,41,1,136
Readsboro,,,44,0,17,0,61
Richford,,,103,0,15,0,118
Richmond,,,730,1,156,0,887
Ripton,,,99,0,29,0,128
Rochester,,,158,2,37,1,198
Rockingham,,,476,2,92,1,571
Roxbury,,,68,0,17,0,85
Royalton,,,252,0,64,0,316
Rupert,,,84,0,12,1,97
"Rutland City",-,"Rutland 5-1",290,0,85,2,377
"Rutland City",-,"Rutland 5-2",212,0,45,3,260
"Rutland City",-,"Rutland 5-3",115,0,29,1,145
"Rutland City",-,"Rutland 5-4",200,0,47,3,250
"Rutland Town",,,285,1,60,0,346
Ryegate,,,91,0,12,1,104
Salisbury,,,104,0,18,0,122
Sandgate,,,43,0,6,0,49
Searsburg,,,3,0,0,0,3
Shaftsbury,,,228,0,61,0,289
Sharon,,,195,0,40,0,235
Sheffield,,,36,3,12,0,51
Shelburne,-,"Chittenden 5-1",780,1,143,0,924
Shelburne,-,"Chittenden 5-2",449,1,81,0,531
Sheldon,,,80,1,9,0,90
Shoreham,,,131,0,35,0,166
Shrewsbury,,,128,0,13,0,141
"S. Burlington",-,"Chittenden 7-1",699,1,131,1,832
"S. Burlington",-,"Chittenden 7-2",657,5,116,2,780
"S. Burlington",-,"Chittenden 7-3",575,1,77,2,655
"S. Burlington",-,"Chittenden 7-4",534,2,97,0,633
"S. Hero",,,401,2,86,0,489
Springfield,-,"Windsor 3-1",31,0,5,0,36
Springfield,-,"Windsor 3-2",681,4,100,0,785
"St. Albans City",,,414,2,0,47,463
"St. Albans Town",-,"Franklin 3-1",123,1,11,0,135
"St. Albans Town",-,"Franklin 3-2",269,2,27,0,298
"St. George",,,60,0,12,1,73
"St. Johnsbury",,,414,1,59,3,477
Stamford,,,41,0,16,0,57
Stannard,,,28,0,4,0,32
Starksboro,,,237,0,36,0,273
Stockbridge,,,75,0,19,0,94
Stowe,,,514,2,138,2,656
Strafford,,,231,1,72,0,304
Stratton,,,12,0,2,0,14
Sudbury,,,52,1,11,0,64
Sunderland,-,"Bennington 3",16,0,0,0,16
Sunderland,-,"Bennington 4",43,0,11,0,54
Sutton,,,49,0,20,0,69
Swanton,,,309,0,26,0,335
Thetford,,,495,0,145,1,641
Tinmouth,-,"Rutland 2",14,0,2,0,16
Tinmouth,-,Rutland-Bennington,50,0,8,0,58
Topsham,,,59,0,10,0,69
Townshend,,,123,0,34,0,157
Troy,-,"Orleans 2",16,0,3,0,19
Troy,-,Orleans-Lamoille,84,0,16,0,100
Tunbridge,,,143,0,30,1,174
Underhill,,,445,0,73,1,519
Vergennes,,,237,0,44,0,281
Vernon,,,159,1,48,0,208
Vershire,,,75,1,12,0,88
Victory,,,4,0,3,0,7
Waitsfield,,,285,0,70,0,355
Walden,,,93,0,22,0,115
Wallingford,,,155,0,35,0,190
Waltham,,,62,0,8,0,70
Wardsboro,,,71,1,5,0,77
Warren,,,221,2,72,0,295
Washington,,,72,0,13,0,85
Waterbury,,,809,3,172,2,986
Waterford,,,52,0,13,0,65
Waterville,,,51,0,18,0,69
Weathersfield,,,284,2,47,0,333
Wells,,,62,0,5,0,67
"W. Fairlee",,,37,0,9,0,46
"W. Haven",,,17,0,3,0,20
"W. Rutland",,,94,0,15,0,109
"W. Windsor",,,160,1,61,0,222
Westfield,,,65,0,11,0,76
Westford,,,184,1,39,0,224
Westminster,-,"Windham 3",12,0,5,0,17
Westminster,-,"Windham 4",374,0,107,0,481
Westmore,,,28,0,8,0,36
Weston,,,94,0,44,0,138
Weybridge,,,158,0,31,0,189
Wheelock,,,62,0,11,0,73
Whiting,,,28,0,6,0,34
Whitingham,-,"Windham 6",65,0,14,0,79
Whitingham,-,Windham-Bennington,2,0,2,0,4
Williamstown,,,166,0,37,1,204
Williston,,,"1,015",2,187,2,"1,206"
Wilmington,,,141,0,39,0,180
Windham,,,69,1,25,0,95
Windsor,,,417,1,85,0,503
Winhall,,,84,0,18,0,102
Winooski,,,699,5,158,0,862
Wolcott,,,134,1,22,0,157
Woodbury,,,122,1,26,0,149
Woodford,,,20,0,11,0,31
Woodstock,,,598,2,206,0,806
Worcester,,,222,3,41,0,266
TOTALS,,,"59,818",219,"12,961",164,"73,162"
