City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Barnard,,,-,3,65,0,68
Hartford,,,-,13,103,0,116
Pomfret,,,-,3,68,0,71
TOTALS,,,-,19,236,0,255
