City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Colchester,-,"Chittenden 9-1",-,31,429,0,460
Colchester,-,"Chittenden 9-2",-,60,675,0,735
"Grand Isle",,,-,36,169,0,205
"Isle La Motte",,,-,5,45,1,51
"N. Hero",,,-,9,104,0,113
"S. Hero",,,-,15,260,0,275
TOTALS,,,-,156,"1,682",1,"1,839"
