City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Bethel,,,-,3,15,0,18
Bridgewater,,,-,1,2,0,3
Cavendish,,,-,0,3,0,3
Chester,,,-,1,5,0,6
Hartford,-,"Windsor 4-1",-,0,6,0,6
Hartford,-,"Windsor 4-2",-,0,6,0,6
Londonderry,,,-,0,3,0,3
Norwich,,,-,6,9,0,15
Pomfret,,,-,5,4,0,9
Rochester,,,-,7,5,0,12
Royalton,,,-,0,3,0,3
Sharon,,,-,0,3,0,3
Springfield,-,"Windsor 3-1",-,0,0,0,0
Springfield,-,"Windsor 3-2",-,0,3,0,3
Stockbridge,,,-,0,6,0,6
Weathersfield,,,-,0,9,0,9
Windsor,,,-,0,3,0,3
Woodstock,,,-,6,9,0,15
TOTALS,,,-,29,94,0,123
