City/Town,Ward,Pct,"Kimberly Jessup","Carl Etnier","Virginia Burley","Benjamin Kaplan","Kim Swasey",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,
"E. Montpelier",,,149,147,128,81,107,1,11,0,624
Middlesex,,,274,57,47,44,16,2,8,0,448
TOTALS,,,423,204,175,125,123,3,19,0,"1,072"
