City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Belvidere,,,25,2,7,0,34
Cambridge,,,256,1,42,0,299
Eden,,,80,5,21,0,106
Elmore,,,69,1,15,0,85
"Hyde Park",,,302,4,53,1,360
Johnson,,,151,0,24,0,175
Morristown,,,417,11,100,2,530
Stowe,,,350,8,63,0,421
Waterville,,,56,3,15,0,74
TOTALS,,,"1,706",35,340,3,"2,084"
