City/Town,Ward,Pct,"Mitzi Johnson","Ben W. Joseph","Andrew Julow","Evan Hill",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,
Alburgh,,,73,84,34,81,0,64,0,336
"Grand Isle",,,184,145,117,52,5,111,0,614
"Isle La Motte",,,30,30,21,47,0,38,0,166
Milton,,,82,35,34,19,5,51,0,226
"N. Hero",,,69,109,106,41,0,51,0,376
"S. Hero",,,334,175,248,58,28,135,0,978
TOTALS,,,772,578,560,298,38,450,0,"2,696"
