City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Bradford,,,-,0,2,0,2
Burke,,,-,0,1,1,2
Fairlee,,,-,1,1,0,2
Groton,,,-,2,6,0,8
Hardwick,,,-,0,12,0,12
Lyndon,,,-,3,5,0,8
Newark,,,-,2,0,0,2
Newbury,,,-,1,9,0,10
Peacham,,,-,0,2,0,2
Ryegate,,,-,2,2,0,4
Sheffield,,,-,1,1,0,2
"St. Johnsbury",,,-,3,7,0,10
Walden,,,-,0,10,0,10
Wheelock,,,-,0,2,0,2
TOTALS,,,-,15,60,1,76
