City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Groton,,,61,1,14,0,76
Newbury,,,204,1,20,0,225
Topsham,,,62,0,7,0,69
TOTALS,,,327,2,41,0,370
