City/Town,Ward,Pct,"Jessica Comai Brumsted",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Shelburne,,,425,5,101,0,531
"St. George",,,55,0,17,1,73
TOTALS,,,480,5,118,1,604
