City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Brattleboro,-,"Windham 2-1",-,1,1,0,2
Brattleboro,-,"Windham 2-2",-,1,5,0,6
Brattleboro,-,"Windham 2-3",-,8,14,0,22
Dover,,,-,1,1,0,2
Dummerston,,,-,6,2,0,8
Guilford,,,-,1,11,0,12
Halifax,,,-,0,8,0,8
Jamaica,,,-,1,1,0,2
Newfane,,,-,2,2,0,4
Putney,,,-,4,6,0,10
Rockingham,,,-,2,4,0,6
Vernon,,,-,0,4,0,4
Westminster,-,"Windham 3",-,0,0,0,0
Westminster,-,"Windham 4",-,3,1,2,6
Windham,,,-,0,2,0,2
TOTALS,,,-,30,62,2,94
