City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Burke,,,-,0,1,1,2
Lyndon,,,-,3,5,0,8
TOTALS,,,-,3,6,1,10
