City/Town,Ward,Pct,"Sue Minter","Matt Dunne","Peter W. Galbraith","Cris Ericson","H. Brooke Paige",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Williston,,,703,369,84,5,4,10,29,2,"1,206"
Wilmington,,,61,80,31,3,1,0,4,0,180
Windham,,,23,11,59,2,0,0,0,0,95
Windsor,,,113,348,25,2,4,3,8,0,503
Winhall,,,32,47,8,3,1,7,4,0,102
Winooski,,,470,283,63,9,0,8,28,1,862
Wolcott,,,59,65,16,0,2,11,4,0,157
Woodbury,,,78,52,15,0,1,1,2,0,149
Woodford,,,8,9,6,2,0,5,1,0,31
Woodstock,,,285,408,65,8,1,10,29,0,806
Worcester,,,117,95,27,3,1,14,9,0,266
TOTALS,,,"36,046","26,706","6,611",537,361,"1,328","1,486",87,"73,162"
