City/Town,Ward,Pct,"Sam Young","Matt Eldridge",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Albany,,,74,40,4,63,1,182
Barton,,,127,79,15,71,0,292
Craftsbury,,,137,72,5,124,0,338
Glover,,,115,80,2,61,0,258
Greensboro,,,120,50,5,103,0,278
Sheffield,,,37,14,6,45,0,102
Wheelock,,,49,34,1,62,0,146
TOTALS,,,659,369,38,529,1,"1,596"
