City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 9-1",456,4,61,3,524
Colchester,-,"Chittenden 9-2",700,6,102,5,813
"Grand Isle",,,256,7,44,0,307
"Isle La Motte",,,67,0,16,0,83
"N. Hero",,,163,2,23,0,188
"S. Hero",,,419,6,64,0,489
TOTALS,,,"2,061",25,310,8,"2,404"
