City/Town,Ward,Pct,"Mike McCarthy","Kathleen C. Keenan",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
"St. Albans City",,,357,345,11,0,213,926
"St. Albans Town",,,86,95,11,76,2,270
TOTALS,,,443,440,22,76,215,"1,196"
