City/Town,Ward,Pct,"Scott Campbell","Corey Raynor",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
"St. Johnsbury",,,385,254,32,281,2,954
TOTALS,,,385,254,32,281,2,954
