City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
"Grand Isle",,,-,0,8,0,8
"Isle La Motte",,,-,0,8,0,8
"S. Hero",,,-,2,4,0,6
TOTALS,,,-,2,20,0,22
