City/Town,Ward,Pct,"Anne B. Donahue","Patti J. Lewis",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Berlin,,,274,310,10,200,0,794
Northfield,,,432,379,2,229,0,"1,042"
TOTALS,,,706,689,12,429,0,"1,836"
