City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Bolton,,,-,0,2,0,2
Huntington,,,-,2,6,0,8
Waterbury,,,-,3,1,0,4
TOTALS,,,-,5,9,0,14
