City/Town,Ward,Pct,"Daniel Noyes","Matthew Hill",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Belvidere,,,12,11,0,19,0,42
"Hyde Park",,,235,159,12,308,0,714
Johnson,,,117,176,4,195,0,492
Wolcott,,,129,83,5,97,0,314
TOTALS,,,493,429,21,619,0,"1,562"
