City/Town,Ward,Pct,"Bernard C. Juskiewicz",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cambridge,,,271,1,32,0,304
Waterville,,,58,0,16,0,74
TOTALS,,,329,1,48,0,378
