City/Town,Ward,Pct,"Kitty Beattie Toll",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cabot,,,177,1,19,0,197
Danville,,,246,1,21,1,269
Peacham,,,139,2,12,0,153
TOTALS,,,562,4,52,1,619
