City/Town,Ward,Pct,"Marcia Robinson Martel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Barnet,,,147,0,33,0,180
Ryegate,,,90,0,14,1,105
Waterford,,,130,0,17,0,147
TOTALS,,,367,0,64,1,432
