City/Town,Ward,Pct,"Craig R. Vance",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Cabot,,,101,6,30,0,137
Danville,,,204,6,50,0,260
Peacham,,,68,1,23,1,93
TOTALS,,,373,13,103,1,490
