City/Town,Ward,Pct,"Linda Joy Sullivan",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Danby,,,94,6,23,0,123
Dorset,,,232,1,47,0,280
Landgrove,,,32,0,10,0,42
"Mount Tabor",,,10,0,2,0,12
Peru,,,43,1,7,0,51
TOTALS,,,411,8,89,0,508
