City/Town,Ward,Pct,"Brian Keefe",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Arlington,,,106,6,174,2,288
Manchester,,,292,17,397,0,706
Sandgate,,,25,6,33,0,64
Sunderland,,,29,1,54,0,84
TOTALS,,,452,30,658,2,"1,142"
