City/Town,Ward,Pct,"Job Tate",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bridgewater,,,58,0,6,0,64
Chittenden,,,125,2,26,0,153
Killington,,,87,0,22,0,109
Mendon,,,139,0,17,0,156
TOTALS,,,409,2,71,0,482
