City/Town,Ward,Pct,"Michael Hebert",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Guilford,,,66,2,7,0,75
Vernon,,,249,1,45,1,296
TOTALS,,,315,3,52,1,371
