City/Town,Ward,Pct,"Beth Pearce","Richard M. Dunne",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Newark,,,38,16,0,14,0,68
Newbury,,,131,66,1,27,0,225
Newfane,,,175,144,1,82,1,403
"Newport City",,,147,84,0,22,0,253
"Newport Town",,,41,28,0,12,0,81
"N. Hero",,,93,67,0,28,0,188
Northfield,,,259,81,0,46,0,386
Norton,,,8,3,0,1,0,12
Norwich,,,479,209,2,281,0,971
Orange,,,58,7,0,17,0,82
Orwell,,,64,29,0,8,1,102
Panton,,,39,16,0,7,0,62
Pawlet,,,83,56,0,21,0,160
Peacham,,,93,37,0,23,0,153
Peru,,,29,18,0,4,0,51
Pittsfield,,,24,26,0,11,0,61
Pittsford,,,122,68,0,28,0,218
Plainfield,,,154,43,1,39,0,237
Plymouth,,,39,17,0,17,0,73
Pomfret,,,117,55,0,34,0,206
Poultney,,,103,65,0,20,0,188
Pownal,,,104,58,0,25,0,187
Proctor,,,73,28,0,14,0,115
Putney,,,209,128,1,94,0,432
Randolph,,,356,124,1,60,1,542
Reading,,,69,37,1,28,1,136
Readsboro,,,23,26,0,12,0,61
Richford,,,74,34,0,10,0,118
Richmond,,,532,222,0,133,0,887
Ripton,,,59,38,0,31,0,128
Rochester,,,90,70,0,37,1,198
Rockingham,,,285,187,0,98,1,571
Roxbury,,,55,15,0,15,0,85
Royalton,,,198,69,1,48,0,316
Rupert,,,56,28,0,13,0,97
"Rutland City",-,"Rutland 5-1",252,69,0,56,0,377
"Rutland City",-,"Rutland 5-2",163,67,0,30,0,260
"Rutland City",-,"Rutland 5-3",88,41,0,15,1,145
"Rutland City",-,"Rutland 5-4",156,66,0,26,2,250
"Rutland Town",,,230,74,0,42,0,346
Ryegate,,,74,20,1,8,1,104
Salisbury,,,75,36,0,11,0,122
Sandgate,,,26,20,0,3,0,49
Searsburg,,,2,1,0,0,0,3
Shaftsbury,,,170,76,0,43,0,289
Sharon,,,136,61,0,38,0,235
Sheffield,,,28,13,0,10,0,51
Shelburne,-,"Chittenden 5-1",528,268,0,128,0,924
Shelburne,-,"Chittenden 5-2",289,153,1,87,1,531
Sheldon,,,53,29,0,8,0,90
Shoreham,,,99,38,0,29,0,166
Shrewsbury,,,100,31,0,10,0,141
"S. Burlington",-,"Chittenden 7-1",434,268,0,130,0,832
"S. Burlington",-,"Chittenden 7-2",426,251,2,100,1,780
