City/Town,Ward,Pct,"Charles Shaw",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Brandon,,,306,19,347,0,672
Pittsford,,,256,15,301,0,572
Sudbury,,,46,4,61,1,112
TOTALS,,,608,38,709,1,"1,356"
