City/Town,Ward,Pct,"Robin Chesnut-Tangerman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
"Middletown Springs",,,93,0,12,1,106
Pawlet,,,131,5,24,0,160
Rupert,,,80,1,15,1,97
Tinmouth,,,54,1,3,0,58
Wells,,,62,2,3,0,67
TOTALS,,,420,9,57,2,488
