City/Town,Ward,Pct,"Theresa Persons Wood","Tom Stevens",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Bolton,,,121,120,0,87,0,328
Huntington,,,290,277,0,205,0,772
Waterbury,,,781,752,4,430,5,"1,972"
TOTALS,,,"1,192","1,149",4,722,5,"3,072"
