City/Town,Ward,Pct,"Connie Quimby",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Brunswick,,,13,3,1,0,17
Concord,,,101,7,28,1,137
Granby,,,17,0,2,0,19
Guildhall,,,25,2,9,0,36
Kirby,,,74,0,13,0,87
Lunenburg,,,76,4,8,0,88
Maidstone,,,22,2,4,0,28
Victory,,,15,4,3,1,23
TOTALS,,,343,22,68,2,435
