City/Town,Ward,Pct,"Robert L. Bancroft",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Essex,,,144,3,59,0,206
Westford,,,160,1,28,1,190
TOTALS,,,304,4,87,1,396
