City/Town,Ward,Pct,"Phil Scott","Bruce M. Lisman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Newbury,,,114,63,1,3,0,181
Newfane,,,69,40,0,1,0,110
"Newport City",,,184,108,1,3,0,296
"Newport Town",,,66,46,3,1,1,117
"N. Hero",,,69,44,0,0,0,113
Northfield,,,422,94,2,3,0,521
Norton,,,13,5,0,0,0,18
Norwich,,,39,36,0,0,0,75
Orange,,,125,23,0,0,1,149
Orwell,,,100,57,2,2,0,161
Panton,,,43,33,0,0,0,76
Pawlet,,,39,68,0,0,0,107
Peacham,,,68,23,0,0,2,93
Peru,,,11,15,0,0,0,26
Pittsfield,,,26,28,0,2,0,56
Pittsford,,,165,120,1,0,0,286
Plainfield,,,76,20,0,1,0,97
Plymouth,,,42,32,1,0,0,75
Pomfret,,,44,25,0,1,1,71
Poultney,,,99,69,0,1,0,169
Pownal,,,58,57,0,0,0,115
Proctor,,,70,69,0,1,0,140
Putney,,,30,29,0,2,0,61
Randolph,,,271,111,1,3,1,387
Reading,,,22,17,0,1,0,40
Readsboro,,,16,19,0,0,0,35
Richford,,,66,54,0,3,0,123
Richmond,,,213,109,1,3,0,326
Ripton,,,25,3,0,1,0,29
Rochester,,,56,13,0,20,3,92
Rockingham,,,54,79,0,0,1,134
Roxbury,,,62,16,0,0,0,78
Royalton,,,106,30,0,0,0,136
Rupert,,,21,28,0,1,0,50
"Rutland City",-,"Rutland 5-1",206,229,0,3,2,440
"Rutland City",-,"Rutland 5-2",138,167,0,2,1,308
"Rutland City",-,"Rutland 5-3",68,83,0,0,1,152
"Rutland City",-,"Rutland 5-4",121,139,0,2,0,262
"Rutland Town",,,229,285,2,7,0,523
Ryegate,,,85,16,0,2,2,105
Salisbury,,,36,40,0,2,0,78
Sandgate,,,13,17,1,0,1,32
Searsburg,,,1,9,0,0,0,10
Shaftsbury,,,64,88,1,0,0,153
Sharon,,,47,20,0,1,0,68
Sheffield,,,41,12,0,0,0,53
Shelburne,-,"Chittenden 5-1",161,263,1,3,1,429
Shelburne,-,"Chittenden 5-2",125,219,1,0,0,345
Sheldon,,,87,60,3,2,0,152
Shoreham,,,45,38,0,0,0,83
Shrewsbury,,,50,64,0,3,0,117
"S. Burlington",-,"Chittenden 7-1",150,209,0,0,0,359
"S. Burlington",-,"Chittenden 7-2",199,252,0,0,1,452
"S. Burlington",-,"Chittenden 7-3",124,127,0,2,0,253
"S. Burlington",-,"Chittenden 7-4",175,179,0,2,0,356
"S. Hero",,,158,114,1,2,0,275
Springfield,-,"Windsor 3-1",6,13,0,0,0,19
Springfield,-,"Windsor 3-2",186,243,2,1,1,433
"St. Albans City",,,244,169,2,0,6,421
"St. Albans Town",-,"Franklin 3-1",112,84,1,1,0,198
"St. Albans Town",-,"Franklin 3-2",260,197,1,4,0,462
"St. George",,,24,19,0,1,1,45
"St. Johnsbury",,,332,173,0,1,1,507
Stamford,,,14,15,0,1,0,30
Stannard,,,8,0,0,1,0,9
Starksboro,,,89,71,0,0,0,160
Stockbridge,,,42,25,2,1,0,70
Stowe,,,320,100,1,0,0,421
Strafford,,,47,5,0,1,0,53
Stratton,,,11,13,0,0,0,24
Sudbury,,,31,25,0,0,0,56
Sunderland,-,"Bennington 3",3,6,0,0,0,9
Sunderland,-,"Bennington 4",13,28,0,1,0,42
Sutton,,,50,25,0,0,0,75
Swanton,,,277,253,3,6,0,539
Thetford,,,85,41,1,0,0,127
Tinmouth,-,"Rutland 2",2,4,0,0,0,6
Tinmouth,-,Rutland-Bennington,12,13,0,0,0,25
Topsham,,,76,38,0,0,0,114
Townshend,,,30,24,0,0,1,55
Troy,-,"Orleans 2",15,9,0,0,0,24
Troy,-,Orleans-Lamoille,33,29,1,0,0,63
Tunbridge,,,105,25,0,1,0,131
Underhill,,,191,126,0,0,0,317
Vergennes,,,101,79,0,6,0,186
Vernon,,,71,214,2,8,1,296
Vershire,,,37,17,0,3,0,57
Victory,,,7,15,1,0,0,23
Waitsfield,,,149,41,0,0,0,190
Walden,,,68,36,1,2,0,107
Wallingford,,,68,90,0,3,0,161
Waltham,,,21,25,0,3,0,49
Wardsboro,,,22,22,0,0,0,44
Warren,,,89,32,1,0,0,122
Washington,,,96,20,0,0,0,116
Waterbury,,,361,85,0,3,1,450
Waterford,,,96,51,0,0,0,147
Waterville,,,50,23,0,1,0,74
Weathersfield,,,106,120,0,2,0,228
Wells,,,43,44,0,0,0,87
"W. Fairlee",,,27,6,0,0,0,33
"W. Haven",,,12,6,0,0,0,18
"W. Rutland",,,88,97,0,1,0,186
"W. Windsor",,,40,34,3,3,0,80
Westfield,,,34,21,0,1,0,56
Westford,,,118,72,0,0,0,190
Westminster,-,"Windham 3",2,5,0,0,0,7
Westminster,-,"Windham 4",51,50,0,1,0,102
Westmore,,,30,14,0,0,0,44
Weston,,,25,25,0,0,0,50
Weybridge,,,56,16,0,0,0,72
Wheelock,,,62,21,0,1,1,85
Whiting,,,22,7,0,0,0,29
Whitingham,-,"Windham 6",31,24,1,0,0,56
Whitingham,-,Windham-Bennington,1,3,0,0,0,4
Williamstown,,,279,74,2,4,0,359
Williston,,,424,433,0,3,2,862
Wilmington,,,43,49,0,3,0,95
Windham,,,5,10,0,0,0,15
Windsor,,,63,56,0,1,0,120
Winhall,,,29,50,0,2,1,82
Winooski,,,121,96,0,2,0,219
Wolcott,,,99,31,0,1,0,131
Woodbury,,,104,15,0,0,0,119
Woodford,,,6,5,0,0,0,11
Woodstock,,,88,93,1,2,0,184
Worcester,,,74,18,0,2,0,94
TOTALS,,,"27,728","18,113",114,375,64,"46,394"
