City/Town,Ward,Pct,"Dave Potter","Michael Stimpfel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Clarendon,,,114,72,1,103,0,290
Proctor,,,87,49,1,93,0,230
Tinmouth,,,15,5,0,12,0,32
Wallingford,,,145,94,1,140,0,380
"W. Rutland",,,93,54,2,69,0,218
TOTALS,,,454,274,5,417,0,"1,150"
