City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Tinmouth,-,"Rutland 2",-,0,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,2,0,2
Troy,-,"Orleans 2",-,1,1,0,2
Troy,-,Orleans-Lamoille,-,0,2,0,2
Tunbridge,,,-,3,2,0,5
Underhill,,,-,5,0,0,5
Vergennes,,,-,2,3,0,5
Vernon,,,-,0,2,0,2
Vershire,,,-,0,2,0,2
Waitsfield,,,-,1,0,0,1
Walden,,,-,0,5,0,5
Wallingford,,,-,2,1,0,3
Warren,,,-,0,0,1,1
Washington,,,-,1,1,0,2
Waterbury,,,-,2,0,0,2
Weathersfield,,,-,1,2,0,3
Wells,,,-,1,1,0,2
"W. Rutland",,,-,2,0,0,2
Westford,,,-,1,1,0,2
Westminster,-,"Windham 3",-,0,0,0,0
Westminster,-,"Windham 4",-,2,0,1,3
Weybridge,,,-,0,2,0,2
Wheelock,,,-,0,1,0,1
Williamstown,,,-,2,1,0,3
Williston,,,-,3,1,0,4
Windham,,,-,0,1,0,1
Windsor,,,-,1,0,0,1
Winhall,,,-,0,2,0,2
Winooski,,,-,4,8,0,12
Wolcott,,,-,1,1,0,2
Woodstock,,,-,3,2,0,5
Worcester,,,-,0,5,0,5
TOTALS,,,-,272,286,18,576
