City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Brandon,,,-,0,2,0,2
Pittsford,,,-,1,7,0,8
Sudbury,,,-,0,0,2,2
TOTALS,,,-,1,9,2,12
