City/Town,Ward,Pct,"Kt Cappellini",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Plymouth,,,71,0,4,0,75
Reading,,,27,2,11,0,40
Woodstock,,,122,13,49,0,184
TOTALS,,,220,15,64,0,299
