City/Town,Ward,Pct,"Susan Hatch Davis","Adam Deslauriers",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Chelsea,,,99,49,3,89,0,240
Corinth,,,147,48,3,142,0,340
Orange,,,62,32,4,66,0,164
Vershire,,,75,29,1,70,1,176
Washington,,,71,37,0,62,0,170
Williamstown,,,142,70,32,163,1,408
TOTALS,,,596,265,43,592,2,"1,498"
