City/Town,Ward,Pct,"John Bartholomew","Paul S. Belaski",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Hartland,,,580,330,5,517,0,"1,432"
"W. Windsor",,,153,129,7,155,0,444
Windsor,,,270,368,13,355,0,"1,006"
TOTALS,,,"1,003",827,25,"1,027",0,"2,882"
